op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps
dequant,q4_to_fp16,q4,64,512,13012.700,0.0000,50.9926
gemm,coopmat_dequant,q4,64,512,60839.550,4412.1867,0.0000
dequant,q4_to_fp16,q4,64,1024,31036.950,0.0000,85.5177
gemm,coopmat_dequant,q4,64,1024,368189.550,5832.5492,0.0000
dequant,q4_to_fp16,q4,64,2048,31081.050,0.0000,341.5854
gemm,coopmat_dequant,q4,64,2048,3324955.450,5166.9472,0.0000
dequant,q4_to_fp16,q4,64,4096,216743.800,0.0000,195.9333
gemm,coopmat_dequant,q4,64,4096,32697096.286,4203.3994,0.0000
gemm,coopmat_fused,q4,64,256,9806.600,3421.6173,0.0000
gemm,coopmat_fused,q4,64,512,92658.050,2897.0549,0.0000
gemm,coopmat_fused,q4,64,1024,429275.600,5002.5756,0.0000
gemm,coopmat_fused,q4,64,2048,3392048.900,5064.7469,0.0000
gemm,coopmat_fused,q4,64,4096,30225887.000,4547.0610,0.0000
dequant,q4_to_fp16,q4,128,256,1190.250,0.0000,138.5121
gemm,coopmat_dequant,q4,128,256,5791.000,5794.2380,0.0000
dequant,q4_to_fp16,q4,128,512,12988.650,0.0000,50.7717
gemm,coopmat_dequant,q4,128,512,60524.950,4435.1207,0.0000
dequant,q4_to_fp16,q4,128,1024,40098.150,0.0000,65.7842
gemm,coopmat_dequant,q4,128,1024,368965.000,5820.2909,0.0000
dequant,q4_to_fp16,q4,128,2048,43049.750,0.0000,245.0954
gemm,coopmat_dequant,q4,128,2048,3310758.450,5189.1038,0.0000
dequant,q4_to_fp16,q4,128,4096,214778.050,0.0000,196.5060
gemm,coopmat_dequant,q4,128,4096,32959950.000,4169.8775,0.0000
gemm,coopmat_fused,q4,128,256,9774.550,3432.8365,0.0000
gemm,coopmat_fused,q4,128,512,97637.500,2749.3069,0.0000
gemm,coopmat_fused,q4,128,1024,432439.600,4965.9736,0.0000
gemm,coopmat_fused,q4,128,2048,3460166.350,4965.0414,0.0000
gemm,coopmat_fused,q4,128,4096,28465111.562,4828.3300,0.0000
rmsnorm,shared,,0,256,1236.300,0.0000,79.5147
rmsnorm,subgroup,,0,256,2003.800,0.0000,49.0588
softmax,shared,,0,256,1516.850,0.0000,43.2053
softmax,subgroup,,0,256,1911.600,0.0000,34.2833
rmsnorm,shared,,0,512,1621.050,0.0000,121.2844
rmsnorm,subgroup,,0,512,3356.350,0.0000,58.5779
softmax,shared,,0,512,1857.500,0.0000,70.5637
softmax,subgroup,,0,512,3145.950,0.0000,41.6637
rmsnorm,shared,,0,1024,2360.450,0.0000,166.5852
rmsnorm,subgroup,,0,1024,6137.650,0.0000,64.0662
softmax,shared,,0,1024,2522.750,0.0000,103.9120
softmax,subgroup,,0,1024,5612.650,0.0000,46.7059
rmsnorm,shared,,0,2048,3899.400,0.0000,201.6803
rmsnorm,subgroup,,0,2048,11698.200,0.0000,67.2268
softmax,shared,,0,2048,3885.350,0.0000,134.9397
softmax,subgroup,,0,2048,24692.900,0.0000,21.2323
rmsnorm,shared,,0,4096,27933.050,0.0000,56.3084
rmsnorm,subgroup,,0,4096,64035.650,0.0000,24.5623
softmax,shared,,0,4096,28145.450,0.0000,37.2556
softmax,subgroup,,0,4096,29790.600,0.0000,35.1982
