tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
128,48,412.6,310.2,0.792,33.3,0.6,28.4,8.6,337.5,2.0,1.2,1.7,8.7
512,48,767.6,667.0,1.704,70.4,2.4,86.7,24.5,576.2,2.2,4.3,6.9,9.2
1024,48,1167.8,876.8,2.240,163.0,4.4,163.9,50.0,773.3,2.2,9.8,10.2,8.2
2048,48,1913.9,1070.1,2.734,324.6,8.6,320.5,109.3,1114.9,2.1,32.7,20.3,7.0
