tokens,scan_kernel,operands,regs_per_lane,workgroups,qk_reread,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
64,l4w4,reg,96,96,2,gemm_m4,gemm_m2,norm,5.701,0.2,0.0,689.7
64,l4w4,reg,96,96,2,gemm_m4,gemm_m2,out,161.962,5.8,12430.5,199.1
64,l4w4,reg,96,96,2,gemm_m4,gemm_m2,layer,765.904,27.6,,
64,l2w4,LDS,64,48,1,gemm_m4,gemm_m2,qkv,521.835,18.8,10348.4,162.3
64,l2w4,LDS,64,48,1,gemm_m4,gemm_m2,conv,12.065,0.4,0.0,434.6
64,l2w4,LDS,64,48,1,gemm_m4,gemm_m2,scan,110.039,4.0,3659.2,114.3
64,l2w4,LDS,64,48,1,gemm_m4,gemm_m2,norm,5.745,0.2,0.0,684.4
64,l2w4,LDS,64,48,1,gemm_m4,gemm_m2,out,163.019,5.9,12349.9,197.8
64,l2w4,LDS,64,48,1,gemm_m4,gemm_m2,layer,812.703,29.3,,
64,l64s,LDS,2,6144,128,gemm_m4,gemm_m2,qkv,523.746,18.9,10310.7,161.7
64,l64s,LDS,2,6144,128,gemm_m4,gemm_m2,conv,11.907,0.4,0.0,440.3
64,l64s,LDS,2,6144,128,gemm_m4,gemm_m2,scan,212.699,7.7,1893.1,1937.4
64,l64s,LDS,2,6144,128,gemm_m4,gemm_m2,norm,5.754,0.2,0.0,683.4
64,l64s,LDS,2,6144,128,gemm_m4,gemm_m2,out,163.431,5.9,12318.8,197.3
64,l64s,LDS,2,6144,128,gemm_m4,gemm_m2,layer,917.537,33.0,,
64,l16s,LDS,8,1536,32,gemm_m4,gemm_m2,qkv,523.561,18.8,10314.3,161.8
64,l16s,LDS,8,1536,32,gemm_m4,gemm_m2,conv,12.006,0.4,0.0,436.7
64,l16s,LDS,8,1536,32,gemm_m4,gemm_m2,scan,77.707,2.8,5181.7,1416.9
64,l16s,LDS,8,1536,32,gemm_m4,gemm_m2,norm,5.665,0.2,0.0,694.1
64,l16s,LDS,8,1536,32,gemm_m4,gemm_m2,out,164.083,5.9,12269.8,196.5
64,l16s,LDS,8,1536,32,gemm_m4,gemm_m2,layer,783.022,28.2,,
64,l8s,LDS,16,768,16,gemm_m4,gemm_m2,qkv,521.715,18.8,10350.8,162.4
64,l8s,LDS,16,768,16,gemm_m4,gemm_m2,conv,11.676,0.4,0.0,449.0
64,l8s,LDS,16,768,16,gemm_m4,gemm_m2,scan,52.983,1.9,7599.7,1128.1
64,l8s,LDS,16,768,16,gemm_m4,gemm_m2,norm,5.194,0.2,0.0,757.1
64,l8s,LDS,16,768,16,gemm_m4,gemm_m2,out,161.769,5.8,12445.3,199.3
64,l8s,LDS,16,768,16,gemm_m4,gemm_m2,layer,753.337,27.1,,
64,l4s,LDS,32,384,8,gemm_m4,gemm_m2,qkv,520.777,18.7,10369.4,162.7
64,l4s,LDS,32,384,8,gemm_m4,gemm_m2,conv,11.931,0.4,0.0,439.4
64,l4s,LDS,32,384,8,gemm_m4,gemm_m2,scan,55.423,2.0,7265.1,624.3
64,l4s,LDS,32,384,8,gemm_m4,gemm_m2,norm,5.608,0.2,0.0,701.2
64,l4s,LDS,32,384,8,gemm_m4,gemm_m2,out,160.428,5.8,12549.3,201.0
64,l4s,LDS,32,384,8,gemm_m4,gemm_m2,layer,754.167,27.2,,
64,l64p,reg+pf,10,6144,128,gemm_m4,gemm_m2,qkv,533.060,19.2,10130.5,158.9
64,l64p,reg+pf,10,6144,128,gemm_m4,gemm_m2,conv,11.864,0.4,0.0,441.9
64,l64p,reg+pf,10,6144,128,gemm_m4,gemm_m2,scan,236.717,8.5,1701.0,1740.9
64,l64p,reg+pf,10,6144,128,gemm_m4,gemm_m2,norm,5.593,0.2,0.0,703.1
64,l64p,reg+pf,10,6144,128,gemm_m4,gemm_m2,out,162.204,5.8,12411.9,198.8
64,l64p,reg+pf,10,6144,128,gemm_m4,gemm_m2,layer,949.438,34.2,,
64,l16p,reg+pf,40,1536,32,gemm_m4,gemm_m2,qkv,523.073,18.8,10323.9,161.9
64,l16p,reg+pf,40,1536,32,gemm_m4,gemm_m2,conv,12.006,0.4,0.0,436.7
64,l16p,reg+pf,40,1536,32,gemm_m4,gemm_m2,scan,76.965,2.8,5231.6,1430.5
64,l16p,reg+pf,40,1536,32,gemm_m4,gemm_m2,norm,5.748,0.2,0.0,684.1
64,l16p,reg+pf,40,1536,32,gemm_m4,gemm_m2,out,164.145,5.9,12265.2,196.4
64,l16p,reg+pf,40,1536,32,gemm_m4,gemm_m2,layer,781.937,28.1,,
64,l8p,reg+pf,80,768,16,gemm_m4,gemm_m2,qkv,520.623,18.7,10372.5,162.7
64,l8p,reg+pf,80,768,16,gemm_m4,gemm_m2,conv,11.598,0.4,0.0,452.1
64,l8p,reg+pf,80,768,16,gemm_m4,gemm_m2,scan,70.550,2.5,5707.3,847.2
64,l8p,reg+pf,80,768,16,gemm_m4,gemm_m2,norm,5.172,0.2,0.0,760.3
64,l8p,reg+pf,80,768,16,gemm_m4,gemm_m2,out,161.262,5.8,12484.4,199.9
64,l8p,reg+pf,80,768,16,gemm_m4,gemm_m2,layer,769.205,27.7,,
64,l4p,reg+pf,160,384,8,gemm_m4,gemm_m2,qkv,520.102,18.7,10382.9,162.9
64,l4p,reg+pf,160,384,8,gemm_m4,gemm_m2,conv,11.944,0.4,0.0,439.0
64,l4p,reg+pf,160,384,8,gemm_m4,gemm_m2,scan,93.499,3.4,4306.5,370.1
64,l4p,reg+pf,160,384,8,gemm_m4,gemm_m2,norm,5.642,0.2,0.0,696.9
64,l4p,reg+pf,160,384,8,gemm_m4,gemm_m2,out,162.272,5.8,12406.7,198.7
64,l4p,reg+pf,160,384,8,gemm_m4,gemm_m2,layer,793.459,28.6,,
128,l64,reg,6,6144,128,gemm_m8,gemm_m2,qkv,640.779,23.1,16855.0,132.7
128,l64,reg,6,6144,128,gemm_m8,gemm_m2,conv,21.146,0.8,0.0,495.9
128,l64,reg,6,6144,128,gemm_m8,gemm_m2,scan,537.814,19.4,1497.4,1520.8
128,l64,reg,6,6144,128,gemm_m8,gemm_m2,norm,10.758,0.4,0.0,731.0
128,l64,reg,6,6144,128,gemm_m8,gemm_m2,out,197.101,7.1,20428.8,167.6
128,l64,reg,6,6144,128,gemm_m8,gemm_m2,layer,1407.598,50.7,,
128,l32,reg,12,3072,64,gemm_m8,gemm_m2,qkv,615.083,22.1,17559.1,138.2
128,l32,reg,12,3072,64,gemm_m8,gemm_m2,conv,20.984,0.8,0.0,499.7
128,l32,reg,12,3072,64,gemm_m8,gemm_m2,scan,240.886,8.7,3343.1,1723.8
128,l32,reg,12,3072,64,gemm_m8,gemm_m2,norm,10.526,0.4,0.0,747.1
128,l32,reg,12,3072,64,gemm_m8,gemm_m2,out,194.930,7.0,20656.3,169.4
128,l32,reg,12,3072,64,gemm_m8,gemm_m2,layer,1082.409,39.0,,
128,l16,reg,24,1536,32,gemm_m8,gemm_m2,qkv,625.048,22.5,17279.2,136.0
128,l16,reg,24,1536,32,gemm_m8,gemm_m2,conv,21.219,0.8,0.0,494.2
128,l16,reg,24,1536,32,gemm_m8,gemm_m2,scan,133.022,4.8,6053.9,1608.1
128,l16,reg,24,1536,32,gemm_m8,gemm_m2,norm,10.823,0.4,0.0,726.6
128,l16,reg,24,1536,32,gemm_m8,gemm_m2,out,197.300,7.1,20408.2,167.4
128,l16,reg,24,1536,32,gemm_m8,gemm_m2,layer,987.412,35.5,,
128,l8,reg,48,768,16,gemm_m8,gemm_m2,qkv,627.984,22.6,17198.4,135.4
128,l8,reg,48,768,16,gemm_m8,gemm_m2,conv,21.202,0.8,0.0,494.6
128,l8,reg,48,768,16,gemm_m8,gemm_m2,scan,99.998,3.6,8053.2,1132.5
128,l8,reg,48,768,16,gemm_m8,gemm_m2,norm,10.799,0.4,0.0,728.2
128,l8,reg,48,768,16,gemm_m8,gemm_m2,out,197.027,7.1,20436.4,167.6
128,l8,reg,48,768,16,gemm_m8,gemm_m2,layer,957.010,34.5,,
128,l4,reg,96,384,8,gemm_m8,gemm_m2,qkv,637.989,23.0,16928.7,133.3
128,l4,reg,96,384,8,gemm_m8,gemm_m2,conv,21.133,0.8,0.0,496.2
128,l4,reg,96,384,8,gemm_m8,gemm_m2,scan,122.595,4.4,6568.8,513.2
128,l4,reg,96,384,8,gemm_m8,gemm_m2,norm,10.802,0.4,0.0,728.0
128,l4,reg,96,384,8,gemm_m8,gemm_m2,out,198.174,7.1,20318.2,166.7
128,l4,reg,96,384,8,gemm_m8,gemm_m2,layer,990.693,35.7,,
128,l2,LDS,64,192,4,gemm_m8,gemm_m2,qkv,624.026,22.5,17307.5,136.3
128,l2,LDS,64,192,4,gemm_m8,gemm_m2,conv,20.883,0.8,0.0,502.1
128,l2,LDS,64,192,4,gemm_m8,gemm_m2,scan,128.106,4.6,6286.3,294.7
128,l2,LDS,64,192,4,gemm_m8,gemm_m2,norm,10.924,0.4,0.0,719.9
128,l2,LDS,64,192,4,gemm_m8,gemm_m2,out,197.681,7.1,20368.8,167.1
