arm,pass,tokens,ms,tok_s,rounds,drafted,accepted
plain,0,128,4093.8,31.266,0,0,0
plain,1,128,4012.4,31.901,0,0,0
spec,0,128,4603.9,27.803,97,64,30
spec,1,128,4477.4,28.588,97,64,30
