op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
gemm,wmma_wg128,fp16,0,4096,5985362.250,22962.5122,0.0000,2800.2,2795.0,2812.0,137.46,tile=128x128x16 waves=4096 ai=64 strideA=8192B strideB=8192B
gemm,wmma_wg128x256,fp16,0,256,21360.550,1570.8599,0.0000,2814.0,2814.0,2814.0,138.16,tile=128x256x16 waves=8 ai=85 strideA=512B strideB=512B
gemm,wmma_wg128x256,fp16,0,512,40136.250,6688.1050,0.0000,2813.0,2813.0,2813.0,137.77,tile=128x256x16 waves=32 ai=85 strideA=1024B strideB=1024B
gemm,wmma_wg128x256,fp16,0,1024,113609.850,18902.2664,0.0000,2813.0,2813.0,2813.0,136.95,tile=128x256x16 waves=128 ai=85 strideA=2048B strideB=2048B
gemm,wmma_wg128x256,fp16,0,2048,754603.750,22766.7424,0.0000,2814.7,2814.0,2815.0,137.22,tile=128x256x16 waves=512 ai=85 strideA=4096B strideB=4096B
gemm,wmma_wg128x256,fp16,0,4096,5429295.700,25314.3246,0.0000,2818.4,2815.0,2821.0,137.50,tile=128x256x16 waves=2048 ai=85 strideA=8192B strideB=8192B
gemm,wmma_lds128,fp16,0,256,20565.050,1631.6241,0.0000,2814.0,2814.0,2814.0,138.09,tile=128x128x16 waves=16 ai=64 strideA=512B strideB=512B
gemm,wmma_lds128,fp16,0,512,41987.750,6393.1851,0.0000,2814.0,2814.0,2814.0,137.71,tile=128x128x16 waves=64 ai=64 strideA=1024B strideB=1024B
gemm,wmma_lds128,fp16,0,1024,145560.550,14753.1982,0.0000,2814.0,2814.0,2814.0,136.77,tile=128x128x16 waves=256 ai=64 strideA=2048B strideB=2048B
gemm,wmma_lds128,fp16,0,2048,1062743.200,16165.5884,0.0000,2815.1,2814.0,2816.0,135.42,tile=128x128x16 waves=1024 ai=64 strideA=4096B strideB=4096B
gemm,wmma_lds128,fp16,0,4096,8011820.550,17154.5222,0.0000,2822.4,2816.0,2828.0,134.15,tile=128x128x16 waves=4096 ai=64 strideA=8192B strideB=8192B
gemm,wmma_lds128_db,fp16,0,256,18865.800,1778.5852,0.0000,2824.0,2824.0,2824.0,132.47,tile=128x128x16 waves=16 ai=64 strideA=512B strideB=512B
gemm,wmma_lds128_db,fp16,0,512,37573.350,7144.3046,0.0000,2821.0,2821.0,2821.0,132.18,tile=128x128x16 waves=64 ai=64 strideA=1024B strideB=1024B
