arm,pass,tokens,ms,tok_s,rounds,drafted,accepted
plain,0,128,4743.0,26.987,0,0,0
plain,1,128,4634.4,27.620,0,0,0
spec,0,128,4831.9,26.491,87,64,41
spec,1,128,4754.3,26.923,87,64,41
