depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,512,741.3,690.68,1.448,0.134,0.004,0.166,0.069,1.037,0.005,0.006,0.015,0.004,1.422
0,tg,64,1926.6,33.22,30.103,3.889,0.278,7.144,4.587,10.361,2.358,0.610,0.501,0.096,29.227
8000,pp,512,881.8,580.63,1.722,0.134,0.004,0.168,0.218,1.123,0.005,0.006,0.057,0.005,1.658
8000,tg,64,2860.7,22.37,44.699,4.101,0.294,7.710,16.714,10.976,2.588,0.629,1.267,0.137,43.014
16000,pp,512,917.3,558.16,1.792,0.134,0.004,0.169,0.334,1.063,0.005,0.006,0.071,0.005,1.714
16000,tg,64,3121.6,20.50,48.776,4.027,0.294,7.443,20.542,10.693,2.773,0.622,1.945,0.135,46.393
32000,pp,512,961.2,532.67,1.877,0.134,0.004,0.168,0.471,1.021,0.005,0.006,0.062,0.005,1.809
32000,tg,64,3586.6,17.84,56.040,4.292,0.364,8.059,25.975,11.531,2.584,0.660,2.127,0.145,53.466
64000,pp,512,1162.9,440.27,2.271,0.133,0.004,0.168,0.823,1.062,0.005,0.006,0.062,0.005,2.201
64000,tg,64,4003.0,15.99,62.546,4.397,0.294,8.233,30.688,11.673,2.762,0.669,3.414,0.092,58.716
