depth,phase,label,n_per_pass,ms_per_token,us_each
2048,tg,dn.qkv,3.0,0.3670,122.3
2048,tg,ple.kv,1.0,0.2685,268.5
2048,tg,moe.down,4.0,0.2188,54.7
2048,tg,hc.up,9.0,0.1780,19.8
2048,tg,dn.out,3.0,0.1470,49.0
2048,tg,hc.down,9.0,0.1330,14.8
2048,tg,attn.attn.split,1.0,0.1305,130.7
2048,tg,attn.qkv,1.0,0.1187,118.9
2048,tg,move,20.0,0.0882,4.4
2048,tg,moe.shexp.up,4.0,0.0688,17.2
2048,tg,dn.scan,3.0,0.0670,22.3
2048,tg,moe.router,4.0,0.0605,15.2
2048,tg,attn.out,1.0,0.0545,54.5
2048,tg,hc.cn,6.0,0.0480,8.0
2048,tg,moe.shexp.down,4.0,0.0413,10.3
2048,tg,moe.route,4.0,0.0285,7.1
2048,tg,hc.norm,3.0,0.0255,8.5
2048,tg,ple.gate,1.0,0.0160,16.1
2048,tg,moe.combine,4.0,0.0158,4.0
2048,tg,dn.conv,3.0,0.0155,5.2
2048,tg,moe.perm.up,4.0,0.0138,3.5
2048,tg,dn.norm,3.0,0.0125,4.2
2048,tg,hc.down_reduce,9.0,0.0123,1.4
2048,tg,hc.combine,2.0,0.0085,4.4
2048,tg,attn.select,1.0,0.0085,8.6
2048,tg,attn.score,1.0,0.0085,8.6
2048,tg,dn.qkv.sum,3.0,0.0067,2.3
2048,tg,moe.router.sum,4.0,0.0063,1.6
2048,tg,dn.out.sum,3.0,0.0060,2.1
2048,tg,attn.attn.combine,1.0,0.0057,5.8
2048,tg,dn.hist,3.0,0.0045,1.5
2048,tg,attn.pack,1.0,0.0043,4.4
2048,tg,attn.attn.gathmask,0.8,0.0040,5.5
2048,tg,ple.conv,1.0,0.0040,4.1
2048,tg,attn.idx,1.0,0.0030,3.2
2048,tg,attn.attn.gather,0.8,0.0027,3.7
2048,tg,attn.out.sum,1.0,0.0020,2.1
2048,tg,attn.qkv.sum,1.0,0.0018,1.9
2048,tg,ple.hist,1.0,0.0010,1.2
4096,pp,moe.up,4.0,0.0247,12640.5
4096,pp,moe.down,4.0,0.0112,5710.0
4096,pp,attn.attn,1.0,0.0102,20940.3
4096,pp,dn.qkv,3.0,0.0062,4235.0
4096,pp,hc.cn,6.0,0.0037,1270.6
4096,pp,hc.up,9.0,0.0029,651.2
4096,pp,dn.scan,3.0,0.0025,1710.3
4096,pp,hc.down,9.0,0.0025,561.6
4096,pp,dn.out,3.0,0.0024,1608.8
4096,pp,moe.combine,4.0,0.0023,1191.7
4096,pp,move,20.0,0.0022,229.1
4096,pp,attn.qkv,1.0,0.0019,3809.0
4096,pp,ple.kv,1.0,0.0018,3788.6
4096,pp,hc.combine,2.0,0.0013,1352.3
4096,pp,head.head,1.0,0.0012,2538.9
4096,pp,dn.conv,3.0,0.0011,758.8
4096,pp,moe.shexp.up,4.0,0.0010,513.9
4096,pp,ple.gate,1.0,0.0009,1813.8
4096,pp,dn.norm,3.0,0.0009,586.6
4096,pp,attn.out,1.0,0.0008,1602.4
4096,pp,hc.norm,3.0,0.0008,519.1
4096,pp,ple.conv,1.0,0.0007,1527.5
4096,pp,moe.shexp.down,4.0,0.0005,249.3
4096,pp,moe.router,4.0,0.0003,167.7
4096,pp,attn.score,1.0,0.0003,553.9
4096,pp,attn.pack,1.0,0.0002,469.6
4096,pp,attn.attn.gathmask,1.0,0.0001,278.4
4096,pp,attn.select,1.0,0.0001,271.8
4096,pp,moe.perm.up,4.0,0.0001,62.3
4096,pp,moe.route,4.0,0.0001,51.4
4096,pp,attn.attn.gather,1.0,0.0000,50.1
4096,pp,attn.idx,1.0,0.0000,40.9
4096,pp,dn.hist,3.0,0.0000,4.6
4096,pp,ple.hist,1.0,0.0000,2.5
4096,pp,hc.down_reduce,1.0,0.0000,1.2
4096,tg,head.head,1.0,2.3847,2384.8
4096,tg,moe.up,4.0,0.4440,111.0
4096,tg,dn.qkv,3.0,0.3673,122.5
4096,tg,ple.kv,1.0,0.2532,253.3
4096,tg,moe.down,4.0,0.2117,52.9
4096,tg,hc.up,9.0,0.1775,19.7
4096,tg,dn.out,3.0,0.1470,49.0
4096,tg,hc.down,9.0,0.1325,14.7
4096,tg,attn.attn.split,1.0,0.1260,126.1
4096,tg,attn.qkv,1.0,0.1170,117.2
4096,tg,move,20.0,0.0805,4.0
4096,tg,dn.scan,3.0,0.0678,22.6
4096,tg,moe.router,4.0,0.0612,15.3
4096,tg,moe.shexp.up,4.0,0.0610,15.3
4096,tg,attn.out,1.0,0.0550,55.0
4096,tg,hc.cn,6.0,0.0470,7.9
4096,tg,moe.shexp.down,4.0,0.0375,9.4
4096,tg,moe.route,4.0,0.0280,7.1
4096,tg,hc.norm,3.0,0.0257,8.6
4096,tg,ple.gate,1.0,0.0160,16.2
4096,tg,dn.conv,3.0,0.0155,5.2
4096,tg,moe.perm.up,4.0,0.0138,3.5
4096,tg,moe.combine,4.0,0.0135,3.4
4096,tg,dn.norm,3.0,0.0127,4.3
4096,tg,hc.down_reduce,9.0,0.0123,1.4
4096,tg,attn.score,1.0,0.0095,9.6
4096,tg,attn.select,1.0,0.0088,8.8
4096,tg,hc.combine,2.0,0.0075,3.8
4096,tg,dn.qkv.sum,3.0,0.0067,2.3
4096,tg,moe.router.sum,4.0,0.0063,1.6
4096,tg,dn.out.sum,3.0,0.0060,2.1
4096,tg,attn.attn.combine,1.0,0.0055,5.7
4096,tg,attn.attn.gathmask,1.0,0.0053,5.4
4096,tg,attn.pack,1.0,0.0045,4.6
4096,tg,dn.hist,3.0,0.0045,1.5
4096,tg,ple.conv,1.0,0.0037,4.0
4096,tg,attn.attn.gather,1.0,0.0035,3.5
4096,tg,attn.idx,1.0,0.0030,3.2
4096,tg,attn.out.sum,1.0,0.0020,2.1
4096,tg,attn.qkv.sum,1.0,0.0018,1.9
4096,tg,ple.hist,1.0,0.0010,1.2
8192,pp,moe.up,4.0,0.0252,12921.5
8192,pp,attn.attn,1.0,0.0140,28607.1
8192,pp,moe.down,4.0,0.0115,5876.7
8192,pp,dn.qkv,3.0,0.0062,4243.1
8192,pp,hc.cn,6.0,0.0037,1262.9
8192,pp,hc.up,9.0,0.0029,652.5
8192,pp,dn.scan,3.0,0.0025,1698.7
8192,pp,moe.combine,4.0,0.0023,1193.1
8192,pp,dn.out,3.0,0.0023,1582.2
8192,pp,hc.down,9.0,0.0023,514.6
8192,pp,move,20.0,0.0022,226.9
8192,pp,attn.qkv,1.0,0.0019,3812.5
8192,pp,ple.kv,1.0,0.0018,3774.1
8192,pp,hc.combine,2.0,0.0013,1349.6
8192,pp,head.head,1.0,0.0012,2519.4
8192,pp,dn.conv,3.0,0.0011,759.1
8192,pp,moe.shexp.up,4.0,0.0010,511.8
8192,pp,ple.gate,1.0,0.0009,1793.4
8192,pp,dn.norm,3.0,0.0009,582.9
8192,pp,hc.norm,3.0,0.0008,535.9
8192,pp,attn.out,1.0,0.0008,1605.6
8192,pp,ple.conv,1.0,0.0008,1540.8
8192,pp,moe.shexp.down,4.0,0.0005,243.8
8192,pp,attn.attn.gathmask,1.0,0.0003,682.7
8192,pp,moe.router,4.0,0.0003,168.8
8192,pp,attn.score,1.0,0.0003,636.4
8192,pp,attn.pack,1.0,0.0002,466.5
8192,pp,attn.select,1.0,0.0002,345.5
8192,pp,moe.perm.up,4.0,0.0001,62.5
8192,pp,moe.route,4.0,0.0001,55.0
8192,pp,attn.attn.gather,1.0,0.0000,69.5
8192,pp,attn.idx,1.0,0.0000,40.2
8192,pp,dn.hist,3.0,0.0000,4.3
8192,pp,ple.hist,1.0,0.0000,2.4
8192,pp,hc.down_reduce,1.0,0.0000,1.5
8192,tg,head.head,1.0,2.3857,2386.0
8192,tg,moe.up,4.0,0.5108,127.7
8192,tg,dn.qkv,3.0,0.3680,122.7
8192,tg,ple.kv,1.0,0.2525,252.5
8192,tg,moe.down,4.0,0.2180,54.5
8192,tg,hc.up,9.0,0.1777,19.8
8192,tg,dn.out,3.0,0.1470,49.1
8192,tg,hc.down,9.0,0.1328,14.8
8192,tg,attn.attn.split,1.0,0.1270,127.1
8192,tg,attn.qkv,1.0,0.1163,116.3
8192,tg,move,20.0,0.0880,4.4
8192,tg,moe.shexp.up,4.0,0.0683,17.1
8192,tg,dn.scan,3.0,0.0655,21.9
8192,tg,moe.router,4.0,0.0605,15.1
8192,tg,attn.out,1.0,0.0548,54.9
8192,tg,hc.cn,6.0,0.0483,8.1
8192,tg,moe.shexp.down,4.0,0.0410,10.3
8192,tg,moe.route,4.0,0.0283,7.1
8192,tg,hc.norm,3.0,0.0253,8.5
8192,tg,moe.combine,4.0,0.0160,4.0
8192,tg,ple.gate,1.0,0.0158,16.0
8192,tg,dn.conv,3.0,0.0155,5.2
8192,tg,moe.perm.up,4.0,0.0140,3.5
8192,tg,dn.norm,3.0,0.0125,4.2
8192,tg,hc.down_reduce,9.0,0.0123,1.4
8192,tg,attn.score,1.0,0.0110,11.1
8192,tg,attn.select,1.0,0.0100,10.2
8192,tg,hc.combine,2.0,0.0088,4.4
8192,tg,dn.qkv.sum,3.0,0.0067,2.3
8192,tg,moe.router.sum,4.0,0.0063,1.6
8192,tg,dn.out.sum,3.0,0.0063,2.1
8192,tg,attn.attn.combine,1.0,0.0057,5.9
8192,tg,attn.attn.gathmask,1.0,0.0055,5.5
8192,tg,attn.pack,1.0,0.0045,4.7
8192,tg,attn.attn.gather,1.0,0.0045,4.7
8192,tg,dn.hist,3.0,0.0045,1.6
8192,tg,ple.conv,1.0,0.0040,4.2
8192,tg,attn.idx,1.0,0.0032,3.3
8192,tg,attn.out.sum,1.0,0.0020,2.1
8192,tg,attn.qkv.sum,1.0,0.0018,1.9
8192,tg,ple.hist,1.0,0.0010,1.2
16384,pp,moe.up,4.0,0.0245,12552.2
16384,pp,attn.attn,1.0,0.0181,36972.8
16384,pp,moe.down,4.0,0.0112,5740.5
16384,pp,dn.qkv,3.0,0.0062,4229.9
16384,pp,hc.cn,6.0,0.0038,1286.2
16384,pp,hc.up,9.0,0.0029,648.9
16384,pp,dn.scan,3.0,0.0025,1697.6
16384,pp,dn.out,3.0,0.0024,1613.3
16384,pp,moe.combine,4.0,0.0023,1189.9
16384,pp,move,20.0,0.0023,231.4
16384,pp,hc.down,9.0,0.0023,512.6
16384,pp,attn.qkv,1.0,0.0019,3799.9
16384,pp,ple.kv,1.0,0.0019,3798.3
16384,pp,hc.combine,2.0,0.0013,1352.6
16384,pp,head.head,1.0,0.0012,2535.5
16384,pp,dn.conv,3.0,0.0011,763.0
16384,pp,moe.shexp.up,4.0,0.0010,518.1
16384,pp,hc.norm,3.0,0.0009,617.7
16384,pp,ple.gate,1.0,0.0009,1784.4
16384,pp,dn.norm,3.0,0.0009,583.3
16384,pp,attn.out,1.0,0.0008,1611.5
16384,pp,ple.conv,1.0,0.0007,1527.5
16384,pp,attn.attn.gathmask,1.0,0.0007,1354.2
16384,pp,moe.shexp.down,4.0,0.0005,248.0
16384,pp,attn.score,1.0,0.0004,830.7
16384,pp,moe.router,4.0,0.0003,168.5
16384,pp,attn.select,1.0,0.0002,485.9
16384,pp,attn.pack,1.0,0.0002,471.6
16384,pp,moe.perm.up,4.0,0.0001,61.8
16384,pp,moe.route,4.0,0.0001,54.1
16384,pp,attn.attn.gather,1.0,0.0000,64.8
16384,pp,attn.idx,1.0,0.0000,39.7
16384,pp,dn.hist,3.0,0.0000,4.4
16384,pp,ple.hist,1.0,0.0000,2.4
16384,pp,hc.down_reduce,1.0,0.0000,1.2
16384,tg,head.head,1.0,2.3678,2368.0
16384,tg,moe.up,4.0,0.4883,122.1
16384,tg,dn.qkv,3.0,0.3685,122.8
16384,tg,ple.kv,1.0,0.2785,278.7
16384,tg,moe.down,4.0,0.2135,53.4
16384,tg,hc.up,9.0,0.1787,19.9
16384,tg,dn.out,3.0,0.1480,49.4
16384,tg,hc.down,9.0,0.1388,15.4
16384,tg,attn.attn.split,1.0,0.1293,129.4
16384,tg,attn.qkv,1.0,0.1170,117.1
16384,tg,move,20.0,0.0790,4.0
16384,tg,dn.scan,3.0,0.0668,22.3
16384,tg,moe.shexp.up,4.0,0.0643,16.1
16384,tg,moe.router,4.0,0.0587,14.7
16384,tg,attn.out,1.0,0.0545,54.5
16384,tg,hc.cn,6.0,0.0488,8.2
16384,tg,moe.shexp.down,4.0,0.0387,9.7
16384,tg,hc.norm,3.0,0.0265,8.9
16384,tg,moe.route,4.0,0.0232,5.8
16384,tg,ple.gate,1.0,0.0160,16.2
16384,tg,dn.conv,3.0,0.0160,5.4
16384,tg,attn.score,1.0,0.0143,14.4
16384,tg,moe.combine,4.0,0.0135,3.4
16384,tg,attn.select,1.0,0.0130,13.0
16384,tg,dn.norm,3.0,0.0127,4.3
16384,tg,hc.down_reduce,9.0,0.0120,1.4
16384,tg,moe.perm.up,4.0,0.0115,2.9
16384,tg,dn.qkv.sum,3.0,0.0067,2.3
16384,tg,hc.combine,2.0,0.0065,3.4
16384,tg,dn.out.sum,3.0,0.0063,2.2
16384,tg,attn.attn.combine,1.0,0.0057,5.8
16384,tg,attn.attn.gathmask,1.0,0.0055,5.6
16384,tg,moe.router.sum,4.0,0.0053,1.4
16384,tg,attn.attn.gather,1.0,0.0053,5.4
16384,tg,dn.hist,3.0,0.0045,1.5
16384,tg,attn.pack,1.0,0.0045,4.6
16384,tg,ple.conv,1.0,0.0040,4.2
16384,tg,attn.idx,1.0,0.0032,3.3
16384,tg,attn.out.sum,1.0,0.0020,2.0
16384,tg,attn.qkv.sum,1.0,0.0018,1.8
16384,tg,ple.hist,1.0,0.0010,1.1
