tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
128,48,564.3,226.8,0.580,44.1,0.7,54.4,13.8,360.3,6.5,11.6,2.4,70.5
512,48,959.2,533.8,1.364,81.3,2.7,131.5,33.0,619.1,6.7,16.2,7.4,61.3
1024,48,1400.7,731.1,1.868,167.9,4.6,236.3,65.6,825.2,6.7,25.0,16.5,53.1
2048,48,2197.1,932.2,2.381,333.7,8.9,446.4,137.3,1179.6,6.7,45.6,22.9,15.9
