tokens,cells,selection,attn_kernel,gemm_kernel,out_kernel,qkv_gemv,out_gemv,dispatch,us_per_layer,us_per_graph,gflops,gbps
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k40,k32,attn,7.358,0.1,1.7,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k40,k32,out,24.153,0.3,1302.4,1302.9
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k40,k32,out.sum,1.123,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k40,k32,layer,233.437,2.8,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k1,qkv,174.373,2.1,409.7,409.7
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k1,qkv.sum,1.167,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k1,pack,5.516,0.1,0.0,7.8
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k1,idx,3.084,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k1,score,8.923,0.1,58.8,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k1,attn,7.431,0.1,1.7,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k1,out,34.103,0.4,922.4,922.8
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k1,layer,234.597,2.8,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k2,qkv,173.695,2.1,411.3,411.3
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k2,qkv.sum,1.166,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k2,pack,5.517,0.1,0.0,7.8
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k2,idx,3.081,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k2,score,8.931,0.1,58.7,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k2,attn,7.452,0.1,1.6,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k2,out,27.202,0.3,1156.4,1156.9
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k2,out.sum,0.700,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k2,layer,227.744,2.7,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k4,qkv,174.063,2.1,410.4,410.4
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k4,qkv.sum,1.164,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k4,pack,5.520,0.1,0.0,7.8
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k4,idx,3.091,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k4,score,8.931,0.1,58.7,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k4,attn,7.448,0.1,1.6,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k4,out,27.628,0.3,1138.6,1139.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k4,out.sum,0.727,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k4,layer,228.572,2.7,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k8,qkv,173.573,2.1,411.6,411.6
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k8,qkv.sum,1.155,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k8,pack,5.508,0.1,0.0,7.8
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k8,idx,3.085,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k8,score,8.965,0.1,58.5,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k8,attn,7.441,0.1,1.7,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k8,out,34.831,0.4,903.1,903.5
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k8,out.sum,0.772,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k8,layer,235.330,2.8,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k16,qkv,173.815,2.1,411.0,411.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k16,qkv.sum,1.157,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k16,pack,5.514,0.1,0.0,7.8
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k16,idx,3.088,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k16,score,8.938,0.1,58.7,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k16,attn,7.444,0.1,1.7,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k16,out,29.054,0.3,1082.7,1083.1
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k16,out.sum,0.881,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k16,layer,229.891,2.8,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,qkv,173.307,2.1,412.2,412.2
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,qkv.sum,1.168,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,pack,5.512,0.1,0.0,7.8
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,idx,3.077,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,score,8.967,0.1,58.5,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,attn,7.385,0.1,1.7,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,out,24.240,0.3,1297.7,1298.2
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,out.sum,1.090,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,layer,224.746,2.7,,
