tokens,label,n_per_pass,ms_per_pass,us_each,pct_of_gpu
4096,hc.down,97.0,109.45,1128.3,3.58
4096,attn.qkv,12.0,91.61,7633.8,3.00
4096,move,196.0,70.58,360.1,2.31
4096,dn.conv,36.0,55.73,1548.0,1.82
4096,moe.shexp.up,48.0,52.38,1091.3,1.71
4096,attn.out,12.0,40.51,3376.2,1.33
4096,dn.norm,36.0,39.92,1108.9,1.31
4096,attn.score,12.0,34.71,2892.3,1.14
4096,attn.expand,12.0,28.90,2408.3,0.95
4096,moe.shexp.down,48.0,22.40,466.6,0.73
4096,attn.select,12.0,16.15,1346.0,0.53
4096,moe.router,48.0,16.08,335.0,0.53
4096,attn.pack,12.0,12.50,1041.9,0.41
4096,ple.kv,1.0,7.26,7259.7,0.24
4096,moe.perm.up,48.0,5.62,117.0,0.18
4096,hc.combine,2.0,5.43,2717.6,0.18
4096,moe.route,48.0,4.61,96.1,0.15
4096,ple.gate,1.0,3.56,3557.9,0.12
4096,ple.conv,1.0,2.99,2991.5,0.10
4096,hc.norm,3.0,2.99,995.8,0.10
4096,head.head,1.0,2.53,2531.2,0.08
4096,attn.idx,12.0,1.04,86.7,0.03
4096,dn.hist,36.0,0.15,4.3,0.01
4096,ple.hist,1.0,0.00,2.8,0.00
4096,hc.down_reduce,1.0,0.00,1.3,0.00
8192,moe.up,48.0,1373.35,28611.4,23.03
8192,dn.qkv,36.0,626.88,17413.3,10.51
8192,moe.down,48.0,613.88,12789.1,10.29
8192,attn.attn,12.0,594.24,49520.2,9.97
8192,hc.cn,94.0,459.40,4887.3,7.70
8192,dn.scan,36.0,313.75,8715.4,5.26
8192,hc.up,97.0,279.87,2885.3,4.69
8192,dn.out,36.0,230.65,6406.9,3.87
8192,moe.combine,48.0,219.62,4575.5,3.68
8192,hc.down,97.0,207.37,2137.8,3.48
8192,attn.qkv,12.0,184.47,15372.9,3.09
8192,move,196.0,140.01,714.3,2.35
8192,dn.conv,36.0,112.72,3131.0,1.89
8192,moe.shexp.up,48.0,105.65,2201.0,1.77
8192,attn.out,12.0,80.19,6682.8,1.34
8192,attn.expand,12.0,79.69,6640.8,1.34
8192,dn.norm,36.0,78.98,2193.8,1.32
8192,attn.select,12.0,50.65,4221.1,0.85
8192,moe.shexp.down,48.0,44.50,927.0,0.75
8192,attn.score,12.0,41.35,3446.2,0.69
8192,moe.router,48.0,32.10,668.7,0.54
8192,attn.pack,12.0,24.87,2072.8,0.42
8192,ple.kv,1.0,14.48,14483.3,0.24
8192,hc.combine,2.0,10.90,5448.5,0.18
8192,moe.perm.up,48.0,10.84,225.8,0.18
8192,moe.route,48.0,9.16,190.8,0.15
8192,ple.gate,1.0,7.02,7024.5,0.12
8192,ple.conv,1.0,6.00,5996.4,0.10
8192,hc.norm,3.0,5.71,1901.8,0.10
8192,head.head,1.0,2.54,2536.2,0.04
8192,attn.idx,12.0,2.11,176.2,0.04
8192,dn.hist,36.0,0.13,3.7,0.00
8192,ple.hist,1.0,0.00,2.8,0.00
8192,hc.down_reduce,1.0,0.00,1.5,0.00
