depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,2048,1771.5,1156.06,0.865,0.122,0.003,0.156,0.083,0.471,0.001,0.016,0.008,0.003,0.852
0,tg,16,465.0,34.41,29.065,3.902,0.276,6.766,3.443,10.367,2.389,0.549,0.954,0.112,27.693
64000,pp,2048,2284.2,896.58,1.115,0.122,0.003,0.157,0.317,0.454,0.001,0.016,0.041,0.004,1.069
64000,tg,16,496.4,32.23,31.023,3.931,0.282,6.781,4.785,10.377,2.438,0.555,1.271,0.196,29.149
128000,pp,2048,2454.6,834.35,1.199,0.121,0.003,0.156,0.392,0.461,0.001,0.016,0.043,0.004,1.151
128000,tg,16,504.0,31.75,31.499,3.930,0.278,6.786,5.433,10.363,2.466,0.552,1.268,0.126,29.808
