depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,512,740.2,691.69,1.446,0.133,0.004,0.167,0.074,1.033,0.005,0.006,0.011,0.005,1.423
0,tg,64,1825.6,35.06,28.524,3.885,0.273,7.125,3.009,10.370,2.378,0.603,0.508,0.106,27.642
8000,pp,512,885.6,578.11,1.730,0.134,0.004,0.168,0.222,1.122,0.005,0.006,0.062,0.005,1.661
8000,tg,64,1992.4,32.12,31.131,3.919,0.287,7.146,4.763,10.425,2.367,0.614,1.209,0.122,29.521
16000,pp,512,916.8,558.45,1.791,0.133,0.004,0.168,0.334,1.065,0.005,0.006,0.069,0.004,1.716
16000,tg,64,2053.2,31.17,32.082,3.933,0.327,7.147,5.510,10.421,2.377,0.621,1.356,0.108,30.337
32000,pp,512,959.9,533.37,1.875,0.134,0.004,0.168,0.468,1.022,0.005,0.006,0.061,0.004,1.807
32000,tg,64,2211.4,28.94,34.553,4.045,0.402,7.376,6.653,10.733,2.461,0.651,1.821,0.121,32.323
64000,pp,512,1156.3,442.79,2.258,0.133,0.004,0.168,0.815,1.060,0.005,0.006,0.061,0.004,2.191
64000,tg,64,2396.0,26.71,37.437,4.090,0.298,7.382,8.128,10.755,2.454,0.654,3.243,0.109,33.763
