tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
128,48,407.8,313.9,0.802,31.8,0.6,28.2,7.2,335.8,2.0,1.2,1.5,9.4
512,48,762.6,671.4,1.715,66.7,2.4,86.5,22.6,576.6,2.2,4.4,5.3,8.1
1024,48,1157.7,884.5,2.260,158.1,4.4,163.9,45.6,773.4,2.2,9.0,10.4,9.1
2048,48,1910.8,1071.8,2.738,329.2,8.6,319.6,102.1,1115.9,2.1,32.0,18.4,6.9
