depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,2048,1793.7,1141.80,0.876,0.121,0.003,0.156,0.088,0.477,0.001,0.016,0.008,0.003,0.863
0,tg,4,131.5,30.42,32.877,5.593,0.281,8.523,3.958,10.453,2.363,1.078,0.139,0.157,32.250
8000,pp,2048,2164.8,946.04,1.057,0.121,0.003,0.156,0.220,0.485,0.001,0.016,0.049,0.003,1.003
8000,tg,4,148.9,26.87,37.213,5.616,0.294,8.546,5.425,10.389,2.353,1.086,2.812,0.171,33.711
16000,pp,2048,2330.7,878.72,1.138,0.121,0.003,0.156,0.325,0.461,0.001,0.016,0.049,0.004,1.085
16000,tg,4,152.4,26.25,38.098,5.665,0.273,8.568,6.011,10.527,2.372,1.094,3.084,0.177,34.510
32000,pp,2048,2597.6,788.43,1.268,0.121,0.003,0.157,0.465,0.454,0.001,0.016,0.046,0.004,1.218
32000,tg,4,162.3,24.65,40.571,5.905,0.276,8.773,7.121,10.905,2.365,1.159,3.526,0.161,36.506
64000,pp,2048,3144.3,651.33,1.535,0.121,0.003,0.157,0.731,0.458,0.001,0.016,0.043,0.003,1.488
64000,tg,4,166.6,24.00,41.660,5.812,0.267,9.027,7.426,10.614,2.362,1.135,4.452,0.193,36.645
