tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
512,48,776.6,659.3,1.684,67.9,2.1,89.1,30.8,574.1,2.6,8.8,3.8,2.8
1024,48,1155.9,885.9,2.263,134.1,3.7,168.1,62.8,770.8,2.6,12.6,7.9,4.2
2048,48,1900.2,1077.8,2.753,290.4,7.1,323.8,143.4,1097.6,2.5,34.4,13.0,7.7
4096,48,3371.2,1215.0,3.104,583.7,13.8,657.6,379.7,1661.6,2.5,70.1,26.5,12.1
8192,48,6555.4,1249.6,3.193,1157.4,27.8,1365.1,1057.7,2802.4,2.5,139.9,54.9,21.8
