tokens,up_kernel,down_kernel,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,m2,m2/k40,10,10,320,10,320,router,4.275,0.2,614.4,615.6
1,m2,m2/k40,10,10,320,10,320,router.sum,0.841,0.0,0.0,0.0
1,m2,m2/k40,10,10,320,10,320,route,5.829,0.3,0.0,0.0
1,m2,m2/k40,10,10,320,10,320,perm.up,2.948,0.1,0.0,0.0
1,m2,m2/k40,10,10,320,10,320,perm.down,2.940,0.1,0.0,0.0
1,m2,m2/k40,10,10,320,10,320,up,258.487,12.4,8113.2,71.3
1,m2,m2/k40,10,10,320,10,320,down,85.251,4.1,12299.9,144.1
1,m2,m2/k40,10,10,320,10,320,shexp.up,154.190,7.4,42.5,22.6
1,m2,m2/k40,10,10,320,10,320,shexp.down,14.274,0.7,229.6,122.0
1,m2,m2/k40,10,10,320,10,320,combine,2.764,0.1,0.0,44.5
1,m2,m2/k40,10,10,320,10,320,block,531.799,25.5,,
1,m2,m4/k40,10,20,640,10,640,router,4.399,0.2,597.1,598.2
1,m2,m4/k40,10,20,640,10,640,router.sum,0.850,0.0,0.0,0.0
1,m2,m4/k40,10,20,640,10,640,route,5.832,0.3,0.0,0.0
1,m2,m4/k40,10,20,640,10,640,perm.up,3.063,0.1,0.0,0.0
1,m2,m4/k40,10,20,640,10,640,perm.down,2.988,0.1,0.0,0.0
1,m2,m4/k40,10,20,640,10,640,up,477.617,22.9,8781.7,38.6
1,m2,m4/k40,10,20,640,10,640,down,98.350,4.7,21323.4,124.9
1,m2,m4/k40,10,20,640,10,640,shexp.up,154.250,7.4,42.5,22.6
1,m2,m4/k40,10,20,640,10,640,shexp.down,22.165,1.1,147.8,78.5
1,m2,m4/k40,10,20,640,10,640,combine,2.727,0.1,0.0,45.1
1,m2,m4/k40,10,20,640,10,640,block,772.241,37.1,,
1,m2,w2m1/k40,10,10,320,10,320,router,4.287,0.2,612.7,613.9
1,m2,w2m1/k40,10,10,320,10,320,router.sum,0.839,0.0,0.0,0.0
1,m2,w2m1/k40,10,10,320,10,320,route,5.823,0.3,0.0,0.0
1,m2,w2m1/k40,10,10,320,10,320,perm.up,2.967,0.1,0.0,0.0
1,m2,w2m1/k40,10,10,320,10,320,perm.down,2.948,0.1,0.0,0.0
1,m2,w2m1/k40,10,10,320,10,320,up,259.758,12.5,8073.5,71.0
1,m2,w2m1/k40,10,10,320,10,320,down,93.888,4.5,11168.4,130.9
1,m2,w2m1/k40,10,10,320,10,320,shexp.up,153.861,7.4,42.6,22.6
1,m2,w2m1/k40,10,10,320,10,320,shexp.down,16.237,0.8,201.8,107.2
1,m2,w2m1/k40,10,10,320,10,320,combine,2.729,0.1,0.0,45.0
1,m2,w2m1/k40,10,10,320,10,320,block,543.337,26.1,,
1,m2,w4m1/k40,10,20,640,10,640,router,4.292,0.2,612.0,613.2
1,m2,w4m1/k40,10,20,640,10,640,router.sum,0.841,0.0,0.0,0.0
1,m2,w4m1/k40,10,20,640,10,640,route,5.828,0.3,0.0,0.0
1,m2,w4m1/k40,10,20,640,10,640,perm.up,3.056,0.1,0.0,0.0
1,m2,w4m1/k40,10,20,640,10,640,perm.down,2.995,0.1,0.0,0.0
1,m2,w4m1/k40,10,20,640,10,640,up,479.244,23.0,8751.9,38.5
1,m2,w4m1/k40,10,20,640,10,640,down,120.871,5.8,17350.3,101.7
1,m2,w4m1/k40,10,20,640,10,640,shexp.up,154.749,7.4,42.3,22.5
1,m2,w4m1/k40,10,20,640,10,640,shexp.down,19.211,0.9,170.6,90.6
1,m2,w4m1/k40,10,20,640,10,640,combine,2.751,0.1,0.0,44.7
1,m2,w4m1/k40,10,20,640,10,640,block,793.838,38.1,,
1,m4,m1/k40,10,10,640,40,640,router,4.413,0.2,595.2,596.3
1,m4,m1/k40,10,10,640,40,640,router.sum,0.852,0.0,0.0,0.0
1,m4,m1/k40,10,10,640,40,640,route,5.828,0.3,0.0,0.0
1,m4,m1/k40,10,10,640,40,640,perm.up,3.000,0.1,0.0,0.0
1,m4,m1/k40,10,10,640,40,640,perm.down,3.179,0.2,0.0,0.0
1,m4,m1/k40,10,10,640,40,640,up,360.097,17.3,11647.7,51.2
1,m4,m1/k40,10,10,640,40,640,down,126.367,6.1,16595.7,97.2
1,m4,m1/k40,10,10,640,40,640,shexp.up,212.133,10.2,30.9,16.4
1,m4,m1/k40,10,10,640,40,640,shexp.down,15.860,0.8,206.6,109.8
1,m4,m1/k40,10,10,640,40,640,combine,2.799,0.1,0.0,43.9
1,m4,m1/k40,10,10,640,40,640,block,734.528,35.3,,
1,m4,m2/k40,10,10,640,20,640,router,4.591,0.2,572.1,573.2
1,m4,m2/k40,10,10,640,20,640,router.sum,0.850,0.0,0.0,0.0
1,m4,m2/k40,10,10,640,20,640,route,5.937,0.3,0.0,0.0
1,m4,m2/k40,10,10,640,20,640,perm.up,3.089,0.1,0.0,0.0
1,m4,m2/k40,10,10,640,20,640,perm.down,3.139,0.2,0.0,0.0
1,m4,m2/k40,10,10,640,20,640,up,361.819,17.4,11592.3,50.9
1,m4,m2/k40,10,10,640,20,640,down,109.162,5.2,19211.4,112.6
1,m4,m2/k40,10,10,640,20,640,shexp.up,209.884,10.1,31.2,16.6
1,m4,m2/k40,10,10,640,20,640,shexp.down,15.276,0.7,214.5,114.0
1,m4,m2/k40,10,10,640,20,640,combine,2.773,0.1,0.0,44.3
1,m4,m2/k40,10,10,640,20,640,block,716.520,34.4,,
