tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
128,48,409.3,312.7,0.799,31.6,0.6,28.0,8.5,336.4,2.0,1.2,2.1,9.0
512,48,764.6,669.7,1.711,66.3,2.4,86.6,24.6,576.9,2.3,4.4,5.6,8.1
1024,48,1160.9,882.1,2.253,157.9,4.4,163.8,50.0,772.3,2.3,9.2,10.1,9.3
2048,48,1921.4,1065.9,2.723,329.8,8.5,321.0,109.7,1117.3,2.1,32.0,18.7,7.4
