depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,512,739.8,692.05,1.445,0.134,0.004,0.167,0.069,1.036,0.005,0.006,0.011,0.005,1.422
0,tg,64,1929.0,33.18,30.140,3.900,0.278,7.144,4.563,10.331,2.402,0.610,0.516,0.105,29.230
8000,pp,512,883.1,579.80,1.725,0.133,0.004,0.168,0.217,1.128,0.005,0.006,0.057,0.004,1.661
8000,tg,64,2812.8,22.75,43.950,4.074,0.307,7.612,16.579,10.809,2.456,0.623,1.075,0.111,42.461
16000,pp,512,914.6,559.82,1.786,0.133,0.004,0.168,0.328,1.064,0.005,0.006,0.071,0.004,1.709
16000,tg,64,3098.2,20.66,48.409,4.043,0.296,7.486,20.552,10.676,2.408,0.620,1.923,0.116,46.082
32000,pp,512,959.2,533.79,1.873,0.134,0.004,0.169,0.465,1.022,0.005,0.007,0.061,0.004,1.806
32000,tg,64,3494.3,18.32,54.598,4.115,0.311,7.542,25.757,10.929,2.700,0.635,2.186,0.122,51.990
64000,pp,512,1160.5,441.20,2.267,0.134,0.004,0.168,0.821,1.061,0.005,0.006,0.061,0.004,2.199
64000,tg,64,3945.1,16.22,61.642,4.284,0.312,7.910,30.627,11.382,2.697,0.654,3.333,0.116,57.866
