depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,512,740.4,691.48,1.446,0.135,0.004,0.167,0.069,1.038,0.005,0.006,0.010,0.005,1.425
0,tg,64,1932.9,33.11,30.201,3.921,0.277,7.170,4.569,10.352,2.379,0.611,0.530,0.106,29.280
8000,pp,512,884.5,578.87,1.728,0.133,0.004,0.167,0.219,1.126,0.005,0.006,0.061,0.004,1.661
8000,tg,64,2769.0,23.11,43.266,3.985,0.275,7.304,16.502,10.493,2.464,0.615,1.217,0.111,41.638
16000,pp,512,919.2,557.00,1.795,0.134,0.004,0.168,0.331,1.064,0.005,0.006,0.076,0.005,1.712
16000,tg,64,3112.1,20.56,48.627,4.075,0.314,7.503,20.625,10.739,2.581,0.625,1.752,0.118,46.463
32000,pp,512,961.3,532.59,1.878,0.134,0.004,0.169,0.469,1.021,0.005,0.006,0.062,0.005,1.809
32000,tg,64,3503.4,18.27,54.741,4.161,0.333,7.718,25.774,11.026,2.452,0.641,2.229,0.113,52.105
64000,pp,512,1160.9,441.04,2.267,0.133,0.004,0.168,0.820,1.062,0.005,0.006,0.062,0.004,2.199
64000,tg,64,4042.7,15.83,63.168,4.473,0.287,8.422,30.909,11.807,2.621,0.670,3.560,0.103,59.191
