tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
1,24,16.7,59.8,0.153,2.1,0.3,4.2,1.2,5.2,2.4,0.3,0.1,0.9
2,24,54.1,36.9,0.094,13.9,0.3,8.3,2.7,25.5,2.4,0.3,0.1,0.8
3,24,58.3,51.5,0.132,14.4,0.3,8.5,2.7,28.4,2.4,0.3,0.1,0.8
4,24,59.6,67.2,0.172,14.0,0.3,8.5,2.7,30.7,2.4,0.3,0.1,0.7
6,24,65.4,91.7,0.234,13.8,0.3,8.8,2.7,36.4,2.4,0.3,0.2,0.8
8,24,72.1,111.0,0.284,13.8,0.3,8.5,2.7,43.5,2.4,0.3,0.2,0.9
