tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
512,48,745.4,686.8,1.755,68.0,2.1,88.7,30.5,543.4,2.6,8.9,3.5,2.6
1024,48,1094.6,935.5,2.390,132.3,3.6,167.9,61.4,712.7,2.6,12.6,7.7,3.7
2048,48,1694.7,1208.4,3.087,248.0,7.1,323.9,136.6,941.0,2.5,34.4,13.9,7.5
4096,48,3004.9,1363.1,3.482,490.4,13.8,659.0,355.1,1412.0,2.5,70.2,26.1,12.4
8192,48,5834.5,1404.1,3.587,962.8,27.5,1363.7,975.1,2359.7,2.5,140.2,53.7,21.7
