op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
gemv_cold,subgroup_vec16_w32,w4a8,512,32768,283290.250,947.5633,238.7415,2813.0,2813.0,2813.0,133.82,N=4096;weightMB=64.5
gemv_cold,subgroup_vec4_w32_r2,w4a8,512,32768,307045.350,874.2534,220.2709,2814.0,2814.0,2814.0,134.09,N=4096;weightMB=64.5
gemv_cold,subgroup_vec8_w32_r2,w4a8,512,32768,301011.900,891.7769,224.6860,2813.0,2813.0,2813.0,134.01,N=4096;weightMB=64.5
gemv_cold,subgroup,q8,1024,32768,1176838.000,228.0989,114.2722,2815.3,2814.0,2816.0,134.55,N=4096;weightMB=128.2
gemv_cold,subgroup,q4,1024,32768,925270.000,290.1158,72.8123,2814.2,2813.0,2815.0,134.08,N=4096;weightMB=64.2
gemv_cold,subgroup,w8a8,1024,32768,794866.250,337.7115,169.1855,2813.7,2813.0,2814.0,134.50,N=4096;weightMB=128.2
gemv_cold,subgroup,w4a8,1024,32768,373074.800,719.5218,180.5831,2813.6,2813.0,2814.0,134.02,N=4096;weightMB=64.2
gemv_cold,subgroup_vec4,w4a8,1024,32768,325644.700,824.3201,206.8850,2814.0,2814.0,2814.0,134.29,N=4096;weightMB=64.2
gemv_cold,subgroup_vec8,w4a8,1024,32768,284390.300,943.8981,236.8963,2813.2,2813.0,2814.0,134.16,N=4096;weightMB=64.2
gemv_cold,subgroup_vec16,w4a8,1024,32768,319060.200,841.3317,211.1545,2814.0,2814.0,2814.0,134.47,N=4096;weightMB=64.2
gemv_cold,subgroup_vec4_r2,w4a8,1024,32768,299543.100,896.1497,224.9126,2813.0,2813.0,2813.0,134.54,N=4096;weightMB=64.2
gemv_cold,subgroup_vec8_r2,w4a8,1024,32768,282981.650,948.5967,238.0755,2814.0,2814.0,2814.0,135.18,N=4096;weightMB=64.2
gemv_cold,subgroup_w32,w4a8,1024,32768,384554.650,698.0424,175.1923,2813.2,2813.0,2814.0,134.91,N=4096;weightMB=64.2
gemv_cold,subgroup_vec4_w32,w4a8,1024,32768,303835.250,883.4902,221.7353,2814.4,2814.0,2815.0,134.99,N=4096;weightMB=64.2
gemv_cold,subgroup_vec8_w32,w4a8,1024,32768,303338.300,884.9376,222.0986,2811.3,2811.0,2813.0,134.88,N=4096;weightMB=64.2
gemv_cold,subgroup_vec16_w32,w4a8,1024,32768,281745.300,952.7593,239.1203,2814.0,2814.0,2814.0,135.18,N=4096;weightMB=64.2
gemv_cold,subgroup_vec4_w32_r2,w4a8,1024,32768,306510.350,875.7794,219.8001,2811.3,2811.0,2813.0,134.87,N=4096;weightMB=64.2
gemv_cold,subgroup_vec8_w32_r2,w4a8,1024,32768,299647.300,895.8381,224.8344,2814.0,2814.0,2814.0,135.07,N=4096;weightMB=64.2
