tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
128,48,441.6,289.8,0.740,35.9,0.6,41.6,10.6,344.2,6.5,1.2,2.2,8.9
512,48,822.5,622.5,1.590,71.2,2.4,115.0,29.3,593.0,6.6,3.8,5.9,8.9
1024,48,1249.5,819.6,2.094,155.5,4.3,221.0,60.7,789.0,6.7,11.3,9.3,8.9
2048,48,2067.4,990.6,2.531,318.7,8.5,430.9,131.7,1138.1,6.5,31.6,18.4,7.7
