tokens,cells,selection,attn_kernel,gemm_kernel,out_kernel,qkv_gemv,out_gemv,dispatch,us_per_layer,us_per_graph,gflops,gbps
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,qkv,138.135,1.7,517.1,517.2
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,qkv.sum,1.395,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,pack,6.752,0.1,0.0,6.4
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,idx,3.392,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,score,8.949,0.1,58.6,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,attn,10.472,0.1,1.2,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,out,60.073,0.7,523.7,523.9
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,out.sum,1.232,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k32,layer,230.400,2.8,,
2,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,qkv,216.951,2.6,658.5,329.3
2,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,pack,6.789,0.1,0.0,12.7
2,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,idx,3.442,0.0,0.0,0.0
2,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,score,7.958,0.1,131.8,0.0
2,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,attn,9.995,0.1,4.9,0.0
2,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,out,175.776,2.1,357.9,179.1
2,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,layer,420.911,5.1,,
3,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,qkv,219.934,2.6,974.4,324.9
3,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,pack,6.665,0.1,0.0,19.4
3,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,idx,3.442,0.0,0.0,0.0
3,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,score,7.864,0.1,200.0,0.0
3,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,attn,10.422,0.1,10.6,0.0
3,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,out,174.995,2.1,539.3,180.0
3,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,layer,423.322,5.1,,
4,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,qkv,216.851,2.6,1317.7,329.5
4,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,pack,6.712,0.1,0.0,25.6
4,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,idx,3.419,0.0,0.0,0.0
4,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,score,7.867,0.1,266.6,0.0
4,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,attn,9.995,0.1,19.7,0.0
4,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,out,174.794,2.1,719.9,180.2
4,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,layer,419.638,5.0,,
6,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,qkv,218.194,2.6,1964.3,327.5
6,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,pack,6.722,0.1,0.0,38.4
6,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,idx,3.446,0.0,0.0,0.0
6,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,score,7.834,0.1,401.5,0.0
6,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,attn,9.898,0.1,44.7,0.0
6,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,out,176.087,2.1,1071.9,179.1
6,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,layer,422.181,5.1,,
8,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,qkv,218.244,2.6,2618.5,327.5
8,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,pack,6.722,0.1,0.0,51.2
8,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,idx,3.539,0.0,0.0,0.0
8,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,score,7.810,0.1,537.0,0.0
8,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,attn,9.844,0.1,79.9,0.0
8,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,out,175.559,2.1,1433.5,179.7
8,2048,dense,qt1_kt2,gemm_m4,gemm_m2,gemm,gemm,layer,421.718,5.1,,
