tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
512,48,752.1,680.8,1.739,67.9,2.1,89.0,30.8,548.9,2.6,8.9,3.3,2.7
1024,48,1108.2,924.0,2.361,132.3,3.7,168.0,62.8,724.9,2.6,12.6,8.6,3.5
2048,48,1719.5,1191.0,3.043,248.0,7.1,324.2,143.1,958.9,2.5,34.5,16.1,7.0
4096,48,3056.6,1340.0,3.424,491.2,13.8,657.1,380.0,1439.6,2.5,70.6,27.8,12.2
8192,48,5965.9,1373.1,3.508,963.2,27.5,1363.1,1057.6,2409.1,2.5,140.0,52.9,22.1
