depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,2048,1771.7,1155.93,0.865,0.121,0.003,0.156,0.085,0.469,0.001,0.016,0.007,0.003,0.852
0,tg,4,130.1,30.75,32.521,5.576,0.269,8.454,3.826,10.358,2.358,1.054,0.135,0.165,31.896
8000,pp,2048,2115.1,968.29,1.033,0.121,0.003,0.156,0.203,0.479,0.001,0.016,0.049,0.003,0.980
8000,tg,4,148.9,26.87,37.215,5.682,0.269,8.607,5.172,10.556,2.371,1.101,2.708,0.163,33.759
16000,pp,2048,2287.5,895.29,1.117,0.121,0.003,0.156,0.310,0.455,0.001,0.016,0.049,0.004,1.063
16000,tg,4,153.3,26.09,38.325,5.737,0.290,8.627,5.795,10.608,2.499,1.122,3.061,0.191,34.680
32000,pp,2048,2539.8,806.37,1.240,0.121,0.003,0.157,0.444,0.448,0.001,0.016,0.045,0.004,1.190
32000,tg,4,156.5,25.56,39.119,5.732,0.296,8.719,6.418,10.495,2.396,1.123,3.443,0.155,35.181
64000,pp,2048,3065.6,668.05,1.497,0.121,0.003,0.157,0.699,0.452,0.001,0.016,0.043,0.004,1.449
64000,tg,4,164.6,24.30,41.147,5.729,0.282,8.728,7.196,10.653,2.366,1.134,4.494,0.195,36.090
