tokens,down_kernel,up_kernel,dispatch,us_per_mixer,us_per_graph,gflops,gbps
1,down_gemv8,up_m4,down,18.018,1.7,381.9,231.3
1,down_gemv8,up_m4,down_reduce,0.738,0.1,0.0,0.0
1,down_gemv8,up_m4,up,30.766,3.0,213.0,113.8
1,down_gemv8,up_m4,combine,2.609,0.3,0.0,35.3
1,down_gemv8,up_m4,block,56.754,5.5,,
1,down_gemv8,up_m8,norm,4.609,0.4,0.0,13.3
1,down_gemv8,up_m8,down,18.085,1.8,380.5,230.4
1,down_gemv8,up_m8,down_reduce,0.737,0.1,0.0,0.0
1,down_gemv8,up_m8,up,50.235,4.9,130.5,69.7
1,down_gemv8,up_m8,combine,2.601,0.3,0.0,35.4
1,down_gemv8,up_m8,block,76.267,7.4,,
1,down_gemv16,up_m1,norm,4.623,0.4,0.0,13.3
1,down_gemv16,up_m1,down,15.517,1.5,443.5,268.6
1,down_gemv16,up_m1,down_reduce,0.765,0.1,0.0,0.0
1,down_gemv16,up_m1,up,16.086,1.6,407.4,217.7
1,down_gemv16,up_m1,combine,2.611,0.3,0.0,35.3
1,down_gemv16,up_m1,block,39.602,3.8,,
1,down_gemv16,up_m2,norm,4.614,0.4,0.0,13.3
1,down_gemv16,up_m2,down,15.586,1.5,441.5,267.4
1,down_gemv16,up_m2,down_reduce,0.766,0.1,0.0,0.0
1,down_gemv16,up_m2,up,21.293,2.1,307.8,164.5
1,down_gemv16,up_m2,combine,2.603,0.3,0.0,35.4
1,down_gemv16,up_m2,block,44.862,4.4,,
1,down_gemv16,up_m4,norm,4.601,0.4,0.0,13.4
1,down_gemv16,up_m4,down,15.497,1.5,444.0,268.9
1,down_gemv16,up_m4,down_reduce,0.764,0.1,0.0,0.0
1,down_gemv16,up_m4,up,31.044,3.0,211.1,112.8
1,down_gemv16,up_m4,combine,2.599,0.3,0.0,35.5
1,down_gemv16,up_m4,block,54.505,5.3,,
1,down_gemv16,up_m8,norm,4.613,0.4,0.0,13.3
1,down_gemv16,up_m8,down,15.494,1.5,444.1,269.0
1,down_gemv16,up_m8,down_reduce,0.772,0.1,0.0,0.0
1,down_gemv16,up_m8,up,50.646,4.9,129.4,69.1
1,down_gemv16,up_m8,combine,2.612,0.3,0.0,35.3
1,down_gemv16,up_m8,block,74.137,7.2,,
1,down_gemv32,up_m1,norm,4.623,0.4,0.0,13.3
1,down_gemv32,up_m1,down,12.836,1.2,536.1,324.7
1,down_gemv32,up_m1,down_reduce,0.819,0.1,0.0,0.0
1,down_gemv32,up_m1,up,16.148,1.6,405.8,216.9
1,down_gemv32,up_m1,combine,2.616,0.3,0.0,35.2
