depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,2048,1772.5,1155.45,0.865,0.121,0.003,0.156,0.083,0.471,0.001,0.016,0.009,0.003,0.851
0,tg,16,465.4,34.38,29.085,3.902,0.275,6.762,3.453,10.349,2.386,0.545,0.968,0.136,27.672
64000,pp,2048,1894.1,1081.23,0.925,0.121,0.003,0.157,0.155,0.454,0.001,0.016,0.012,0.004,0.908
64000,tg,16,484.7,33.01,30.293,3.922,0.282,6.792,4.125,10.362,2.371,0.552,1.281,0.204,28.406
