tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
512,48,794.9,644.1,1.646,72.4,2.4,96.1,24.4,590.5,3.8,3.8,5.8,8.6
2048,48,1960.2,1044.8,2.669,318.4,8.6,350.7,109.3,1135.7,3.6,32.9,20.6,6.7
