depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
128000,pp,4096,3484.0,1175.67,0.851,0.120,0.003,0.160,0.174,0.357,0.001,0.017,0.015,0.003,0.832
128000,tg,16,497.2,32.18,31.075,3.916,0.275,6.784,4.865,10.297,2.463,0.550,1.298,0.209,29.152
