op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
moe,moe_reg32_bt_hkab4_padab128,fp16,0,1,92685.100,353.5412,380.0568,2873.5,2873.0,2875.0,107.90,layer=moe.gate_up;mode=grouped;tokens=1;rows=10;padrows=320;tile=32x32x64;wave=64;ai=16;strideB=5376B;gcd4K=256;tiles=200;dispatches=1;wgperdispatch=200;useful=3%;exec_gflops=11313;weightGBps=354;actGBps=27
moe,moe_reg32_bt_hkab4_padab128,fp16,0,1,296727.785,110.4312,118.7135,2875.0,2874.0,2876.0,108.04,layer=moe.gate_up;mode=per_expert;tokens=1;rows=10;padrows=320;tile=32x32x64;wave=64;ai=16;strideB=5376B;gcd4K=256;tiles=200;dispatches=10;wgperdispatch=20;useful=3%;exec_gflops=3534;weightGBps=110;actGBps=8
moe,moe_reg32_bt_hkab4_padab128,fp16,0,512,8199082.350,2046.2309,219.9698,2881.6,2877.0,2886.0,108.95,layer=moe.gate_up;mode=grouped;tokens=512;rows=5120;padrows=16384;tile=32x32x64;wave=64;ai=16;strideB=5376B;gcd4K=256;tiles=10240;dispatches=1;wgperdispatch=10240;useful=31%;exec_gflops=6548;weightGBps=205;actGBps=15
moe,moe_reg32_bt_hkab4_padab128,fp16,0,512,16128891.966,1040.1964,111.8211,2889.3,2887.0,2892.0,101.36,layer=moe.gate_up;mode=per_expert;tokens=512;rows=5120;padrows=16384;tile=32x32x64;wave=64;ai=16;strideB=5376B;gcd4K=256;tiles=10240;dispatches=512;wgperdispatch=20;useful=31%;exec_gflops=3329;weightGBps=104;actGBps=8
moe,moe_reg32_bt_hkab4_padab128,fp16,0,2048,10337267.298,6491.9347,185.0027,2893.7,2892.0,2895.0,103.24,layer=moe.gate_up;mode=grouped;tokens=2048;rows=20480;padrows=30560;tile=32x32x64;wave=64;ai=16;strideB=5376B;gcd4K=256;tiles=19100;dispatches=1;wgperdispatch=19100;useful=67%;exec_gflops=9687;weightGBps=162;actGBps=23
moe,moe_reg32_bt_hkab4_padab128,fp16,0,2048,16417004.500,4087.7655,116.4903,2894.5,2893.0,2896.0,104.92,layer=moe.gate_up;mode=per_expert;tokens=2048;rows=20480;padrows=30560;tile=32x32x64;wave=64;ai=16;strideB=5376B;gcd4K=256;tiles=19100;dispatches=512;wgperdispatch=37;useful=67%;exec_gflops=6100;weightGBps=102;actGBps=14
moe,moe_reg32_bt_hkab4_padab128,fp16,0,8192,24878673.947,10789.7815,95.2634,2892.3,2890.0,2895.0,111.34,layer=moe.gate_up;mode=grouped;tokens=8192;rows=81920;padrows=90144;tile=32x32x64;wave=64;ai=16;strideB=5376B;gcd4K=256;tiles=56340;dispatches=1;wgperdispatch=56340;useful=91%;exec_gflops=11873;weightGBps=67;actGBps=28
moe,moe_reg32_bt_hkab4_padab128,fp16,0,8192,18579388.731,14448.0241,127.5622,2893.4,2892.0,2895.0,120.28,layer=moe.gate_up;mode=per_expert;tokens=8192;rows=81920;padrows=90144;tile=32x32x64;wave=64;ai=16;strideB=5376B;gcd4K=256;tiles=56340;dispatches=512;wgperdispatch=110;useful=91%;exec_gflops=15898;weightGBps=90;actGBps=37
moe,moe_reg32_bt_hkab4_w32_padab128,fp16,0,1,80812.340,405.4826,435.8938,2895.0,2895.0,2895.0,121.22,layer=moe.gate_up;mode=grouped;tokens=1;rows=10;padrows=320;tile=32x32x64;wave=32;ai=16;strideB=5376B;gcd4K=256;tiles=200;dispatches=1;wgperdispatch=200;useful=3%;exec_gflops=12975;weightGBps=405;actGBps=30
moe,moe_reg32_bt_hkab4_w32_padab128,fp16,0,1,244140.065,134.2180,144.2844,2895.0,2895.0,2895.0,120.26,layer=moe.gate_up;mode=per_expert;tokens=1;rows=10;padrows=320;tile=32x32x64;wave=32;ai=16;strideB=5376B;gcd4K=256;tiles=200;dispatches=10;wgperdispatch=20;useful=3%;exec_gflops=4295;weightGBps=134;actGBps=10
moe,moe_reg32_bt_hkab4_w32_padab128,fp16,0,512,8206646.050,2044.3450,219.7671,2896.5,2896.0,2897.0,115.39,layer=moe.gate_up;mode=grouped;tokens=512;rows=5120;padrows=16384;tile=32x32x64;wave=32;ai=16;strideB=5376B;gcd4K=256;tiles=10240;dispatches=1;wgperdispatch=10240;useful=31%;exec_gflops=6542;weightGBps=204;actGBps=15
moe,moe_reg32_bt_hkab4_w32_padab128,fp16,0,512,14091769.943,1190.5684,127.9861,2897.9,2897.0,2898.0,102.32,layer=moe.gate_up;mode=per_expert;tokens=512;rows=5120;padrows=16384;tile=32x32x64;wave=32;ai=16;strideB=5376B;gcd4K=256;tiles=10240;dispatches=512;wgperdispatch=20;useful=31%;exec_gflops=3810;weightGBps=119;actGBps=9
moe,moe_reg32_bt_hkab4_w32_padab128,fp16,0,2048,10295225.723,6518.4451,185.7582,2899.0,2898.0,2899.0,101.08,layer=moe.gate_up;mode=grouped;tokens=2048;rows=20480;padrows=30560;tile=32x32x64;wave=32;ai=16;strideB=5376B;gcd4K=256;tiles=19100;dispatches=1;wgperdispatch=19100;useful=67%;exec_gflops=9727;weightGBps=163;actGBps=23
moe,moe_reg32_bt_hkab4_w32_padab128,fp16,0,2048,14249205.412,4709.6566,134.2126,2899.0,2899.0,2899.0,100.35,layer=moe.gate_up;mode=per_expert;tokens=2048;rows=20480;padrows=30560;tile=32x32x64;wave=32;ai=16;strideB=5376B;gcd4K=256;tiles=19100;dispatches=512;wgperdispatch=37;useful=67%;exec_gflops=7028;weightGBps=118;actGBps=16
moe,moe_reg32_bt_hkab4_w32_padab128,fp16,0,8192,13996028.875,19179.4014,169.3357,2895.3,2891.0,2899.0,111.82,layer=moe.gate_up;mode=grouped;tokens=8192;rows=81920;padrows=90144;tile=32x32x64;wave=32;ai=16;strideB=5376B;gcd4K=256;tiles=56340;dispatches=1;wgperdispatch=56340;useful=91%;exec_gflops=21105;weightGBps=120;actGBps=49
moe,moe_reg32_bt_hkab4_w32_padab128,fp16,0,8192,17406632.815,15421.4465,136.1566,2887.6,2884.0,2890.0,119.90,layer=moe.gate_up;mode=per_expert;tokens=8192;rows=81920;padrows=90144;tile=32x32x64;wave=32;ai=16;strideB=5376B;gcd4K=256;tiles=56340;dispatches=512;wgperdispatch=110;useful=91%;exec_gflops=16970;weightGBps=96;actGBps=40
moe,moe_reg16x32_bt_hkab4_w32_padab128,fp16,0,1,74808.135,438.0272,454.4532,2890.9,2890.0,2891.0,120.25,layer=moe.gate_up;mode=grouped;tokens=1;rows=10;padrows=160;tile=16x32x64;wave=32;ai=11;strideB=5376B;gcd4K=256;tiles=200;dispatches=1;wgperdispatch=200;useful=6%;exec_gflops=7008;weightGBps=438;actGBps=16
moe,moe_reg16x32_bt_hkab4_w32_padab128,fp16,0,1,205268.210,159.6350,165.6214,2891.0,2891.0,2891.0,119.81,layer=moe.gate_up;mode=per_expert;tokens=1;rows=10;padrows=160;tile=16x32x64;wave=32;ai=11;strideB=5376B;gcd4K=256;tiles=200;dispatches=10;wgperdispatch=20;useful=6%;exec_gflops=2554;weightGBps=160;actGBps=6
moe,moe_reg16x32_bt_hkab4_w32_padab128,fp16,0,512,7804034.095,2149.8133,223.2006,2893.3,2892.0,2895.0,113.26,layer=moe.gate_up;mode=grouped;tokens=512;rows=5120;padrows=8352;tile=16x32x64;wave=32;ai=11;strideB=5376B;gcd4K=256;tiles=10440;dispatches=1;wgperdispatch=10440;useful=61%;exec_gflops=3507;weightGBps=215;actGBps=8
moe,moe_reg16x32_bt_hkab4_w32_padab128,fp16,0,512,12318985.200,1361.8992,141.3968,2896.1,2895.0,2897.0,99.21,layer=moe.gate_up;mode=per_expert;tokens=512;rows=5120;padrows=8352;tile=16x32x64;wave=32;ai=11;strideB=5376B;gcd4K=256;tiles=10440;dispatches=512;wgperdispatch=20;useful=61%;exec_gflops=2222;weightGBps=136;actGBps=5
moe,moe_reg16x32_bt_hkab4_w32_padab128,fp16,0,2048,9764597.854,6872.6705,190.9700,2897.7,2897.0,2898.0,100.12,layer=moe.gate_up;mode=grouped;tokens=2048;rows=20480;padrows=24352;tile=16x32x64;wave=32;ai=11;strideB=5376B;gcd4K=256;tiles=30440;dispatches=1;wgperdispatch=30440;useful=84%;exec_gflops=8172;weightGBps=172;actGBps=19
moe,moe_reg16x32_bt_hkab4_w32_padab128,fp16,0,2048,12491640.923,5372.3017,149.2794,2896.7,2896.0,2898.0,100.29,layer=moe.gate_up;mode=per_expert;tokens=2048;rows=20480;padrows=24352;tile=16x32x64;wave=32;ai=11;strideB=5376B;gcd4K=256;tiles=30440;dispatches=512;wgperdispatch=59;useful=84%;exec_gflops=6388;weightGBps=134;actGBps=15
moe,moe_reg16x32_bt_hkab4_w32_padab128,fp16,0,8192,18596804.520,14434.4936,125.6190,2893.8,2887.0,2898.0,110.94,layer=moe.gate_up;mode=grouped;tokens=8192;rows=81920;padrows=85728;tile=16x32x64;wave=32;ai=11;strideB=5376B;gcd4K=256;tiles=107160;dispatches=1;wgperdispatch=107160;useful=96%;exec_gflops=15105;weightGBps=90;actGBps=35
moe,moe_reg16x32_bt_hkab4_w32_padab128,fp16,0,8192,13894333.939,19319.7786,168.1342,2883.4,2879.0,2887.0,125.22,layer=moe.gate_up;mode=per_expert;tokens=8192;rows=81920;padrows=85728;tile=16x32x64;wave=32;ai=11;strideB=5376B;gcd4K=256;tiles=107160;dispatches=512;wgperdispatch=209;useful=96%;exec_gflops=20218;weightGBps=121;actGBps=47
moe,moe_reg16x64_bt_hkab4_w32_padab128,fp16,0,1,78360.885,418.1678,433.8491,2887.0,2887.0,2887.0,128.29,layer=moe.gate_up;mode=grouped;tokens=1;rows=10;padrows=160;tile=16x64x64;wave=32;ai=13;strideB=5376B;gcd4K=256;tiles=100;dispatches=1;wgperdispatch=100;useful=6%;exec_gflops=6691;weightGBps=418;actGBps=16
moe,moe_reg16x64_bt_hkab4_w32_padab128,fp16,0,1,260178.340,125.9444,130.6673,2888.0,2888.0,2888.0,126.85,layer=moe.gate_up;mode=per_expert;tokens=1;rows=10;padrows=160;tile=16x64x64;wave=32;ai=13;strideB=5376B;gcd4K=256;tiles=100;dispatches=10;wgperdispatch=10;useful=6%;exec_gflops=2015;weightGBps=126;actGBps=5
moe,moe_reg16x64_bt_hkab4_w32_padab128,fp16,0,512,7793997.889,2152.5815,223.4880,2891.2,2889.0,2893.0,117.81,layer=moe.gate_up;mode=grouped;tokens=512;rows=5120;padrows=8352;tile=16x64x64;wave=32;ai=13;strideB=5376B;gcd4K=256;tiles=5220;dispatches=1;wgperdispatch=5220;useful=61%;exec_gflops=3511;weightGBps=215;actGBps=8
moe,moe_reg16x64_bt_hkab4_w32_padab128,fp16,0,512,15020412.909,1116.9610,115.9665,2894.9,2894.0,2896.0,99.85,layer=moe.gate_up;mode=per_expert;tokens=512;rows=5120;padrows=8352;tile=16x64x64;wave=32;ai=13;strideB=5376B;gcd4K=256;tiles=5220;dispatches=512;wgperdispatch=10;useful=61%;exec_gflops=1822;weightGBps=112;actGBps=4
moe,moe_reg16x64_bt_hkab4_w32_padab128,fp16,0,2048,9395631.412,7142.5603,198.4694,2897.0,2896.0,2898.0,97.13,layer=moe.gate_up;mode=grouped;tokens=2048;rows=20480;padrows=24352;tile=16x64x64;wave=32;ai=13;strideB=5376B;gcd4K=256;tiles=15220;dispatches=1;wgperdispatch=15220;useful=84%;exec_gflops=8493;weightGBps=179;actGBps=20
moe,moe_reg16x64_bt_hkab4_w32_padab128,fp16,0,2048,15075005.091,4451.6644,123.6978,2898.2,2898.0,2899.0,96.07,layer=moe.gate_up;mode=per_expert;tokens=2048;rows=20480;padrows=24352;tile=16x64x64;wave=32;ai=13;strideB=5376B;gcd4K=256;tiles=15220;dispatches=512;wgperdispatch=30;useful=84%;exec_gflops=5293;weightGBps=111;actGBps=12
moe,moe_reg16x64_bt_hkab4_w32_padab128,fp16,0,8192,16261405.828,16507.5184,143.6599,2879.3,2868.0,2899.0,108.69,layer=moe.gate_up;mode=grouped;tokens=8192;rows=81920;padrows=85728;tile=16x64x64;wave=32;ai=13;strideB=5376B;gcd4K=256;tiles=53580;dispatches=1;wgperdispatch=53580;useful=96%;exec_gflops=17275;weightGBps=103;actGBps=40
