tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
512,48,773.0,662.3,1.692,68.0,2.1,88.8,30.7,570.3,2.6,8.8,3.5,3.0
1024,48,1154.3,887.1,2.266,134.2,3.6,168.0,62.8,769.4,2.6,12.6,7.6,3.9
2048,48,1894.1,1081.3,2.762,289.5,7.1,323.7,143.1,1092.3,2.5,34.4,18.0,7.1
4096,48,3374.0,1214.0,3.102,584.4,13.8,660.2,381.2,1659.3,2.5,70.7,26.8,13.0
8192,48,6551.2,1250.5,3.195,1159.3,27.6,1363.4,1059.0,2796.5,2.5,140.1,56.1,21.9
