op,variant,weight_format,block_size,size,ns_per_iter,gflops,gbps,sclk_mhz,sclk_mhz_min,sclk_mhz_max,power_w,detail
bank,spread,,0,48,4542891.550,0.0000,236.3565,2899.0,2899.0,2899.0,83.89,slabKB=1600;readMiB=1024;bufs=14;parts=16
bank,rand,,0,48,4532213.250,0.0000,236.9134,2899.0,2899.0,2899.0,84.04,slabKB=1600;readMiB=1024;bufs=14;parts=16
bank,seq,,0,64,4525734.950,0.0000,237.2525,2899.0,2899.0,2899.0,84.10,slabKB=1600;readMiB=1024;bufs=1;parts=16
bank,spread,,0,64,4531956.750,0.0000,236.9268,2899.0,2899.0,2899.0,84.04,slabKB=1600;readMiB=1024;bufs=19;parts=16
bank,rand,,0,64,4538316.850,0.0000,236.5947,2899.0,2899.0,2899.0,84.04,slabKB=1600;readMiB=1024;bufs=19;parts=16
bank,seq,,0,1,4621312.550,0.0000,232.3456,2899.0,2899.0,2899.0,84.05,slabKB=4096;readMiB=1024;bufs=1;parts=16
bank,spread,,0,1,4620326.650,0.0000,232.3952,2899.0,2899.0,2899.0,83.99,slabKB=4096;readMiB=1024;bufs=1;parts=16
bank,rand,,0,1,4650479.950,0.0000,230.8884,2899.0,2899.0,2899.0,83.97,slabKB=4096;readMiB=1024;bufs=1;parts=16
bank,seq,,0,2,4620494.950,0.0000,232.3868,2899.0,2899.0,2899.0,84.11,slabKB=4096;readMiB=1024;bufs=1;parts=16
bank,spread,,0,2,4604155.950,0.0000,233.2114,2899.0,2899.0,2899.0,84.04,slabKB=4096;readMiB=1024;bufs=1;parts=16
bank,rand,,0,2,4619130.400,0.0000,232.4554,2899.0,2899.0,2899.0,84.17,slabKB=4096;readMiB=1024;bufs=1;parts=16
bank,seq,,0,4,4637870.000,0.0000,231.5162,2899.0,2899.0,2899.0,84.41,slabKB=4096;readMiB=1024;bufs=1;parts=16
bank,spread,,0,4,4676146.700,0.0000,229.6211,2898.0,2898.0,2898.0,85.19,slabKB=4096;readMiB=1024;bufs=2;parts=16
bank,rand,,0,4,4592006.850,0.0000,233.8284,2898.0,2898.0,2898.0,84.96,slabKB=4096;readMiB=1024;bufs=2;parts=16
bank,seq,,0,8,4628923.000,0.0000,231.9636,2898.0,2898.0,2898.0,84.73,slabKB=4096;readMiB=1024;bufs=1;parts=16
bank,spread,,0,8,4581735.350,0.0000,234.3527,2892.0,2892.0,2892.0,84.58,slabKB=4096;readMiB=1024;bufs=3;parts=16
bank,rand,,0,8,4589227.550,0.0000,233.9701,2893.0,2893.0,2893.0,84.49,slabKB=4096;readMiB=1024;bufs=3;parts=16
bank,seq,,0,16,4626286.000,0.0000,232.0959,2893.6,2893.0,2894.0,84.60,slabKB=4096;readMiB=1024;bufs=1;parts=16
bank,spread,,0,16,4564400.400,0.0000,235.2427,2894.2,2894.0,2895.0,84.24,slabKB=4096;readMiB=1024;bufs=5;parts=16
bank,rand,,0,16,4576184.800,0.0000,234.6369,2895.0,2895.0,2895.0,84.08,slabKB=4096;readMiB=1024;bufs=5;parts=16
bank,seq,,0,32,4620320.650,0.0000,232.3955,2895.6,2895.0,2896.0,83.97,slabKB=4096;readMiB=1024;bufs=1;parts=16
