tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
512,48,781.5,655.2,1.674,70.0,2.4,96.5,24.5,578.7,3.8,4.3,6.0,8.6
2048,48,1945.3,1052.8,2.690,324.2,8.7,350.7,109.3,1115.5,3.7,32.1,20.0,6.9
