tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
512,48,750.2,682.5,1.744,68.3,2.1,88.6,30.7,547.5,2.6,9.0,3.6,2.5
1024,48,1105.7,926.1,2.366,132.6,3.7,168.1,62.6,722.3,2.6,12.5,7.3,4.0
2048,48,1717.2,1192.6,3.047,248.4,7.1,324.2,143.4,956.0,2.5,34.3,16.9,6.7
4096,48,3053.7,1341.3,3.427,491.1,13.9,656.4,380.3,1437.1,2.5,70.6,27.5,12.2
8192,48,5974.2,1371.2,3.503,963.3,27.4,1369.1,1059.0,2409.6,2.5,140.0,51.1,21.8
