tokens,down_kernel,up_kernel,dispatch,us_per_mixer,us_per_graph,gflops,gbps
1,down_gemv32,up_m2,down_reduce,0.811,0.1,0.0,0.0
1,down_gemv32,up_m2,up,39.036,3.8,167.9,168.4
1,down_gemv32,up_m2,combine,2.448,0.2,0.0,37.6
1,down_gemv32,up_m2,block,78.539,7.6,,
1,down_gemv32,up_m4,norm,4.400,0.4,0.0,14.0
1,down_gemv32,up_m4,down,31.462,3.1,218.7,219.4
1,down_gemv32,up_m4,down_reduce,0.790,0.1,0.0,0.0
1,down_gemv32,up_m4,up,45.225,4.4,144.9,145.4
1,down_gemv32,up_m4,combine,2.498,0.2,0.0,36.9
1,down_gemv32,up_m4,block,84.375,8.2,,
1,down_gemv40,up_m1,norm,4.460,0.4,0.0,13.8
1,down_gemv40,up_m1,down,53.340,5.2,129.0,129.4
1,down_gemv40,up_m1,down_reduce,0.828,0.1,0.0,0.0
1,down_gemv40,up_m1,up,41.686,4.0,157.2,157.7
1,down_gemv40,up_m1,combine,2.577,0.2,0.0,35.8
1,down_gemv40,up_m1,block,102.891,10.0,,
1,down_gemv40,up_m2,norm,4.582,0.4,0.0,13.4
1,down_gemv40,up_m2,down,53.293,5.2,129.1,129.5
1,down_gemv40,up_m2,down_reduce,0.827,0.1,0.0,0.0
1,down_gemv40,up_m2,up,39.139,3.8,167.4,168.0
1,down_gemv40,up_m2,combine,2.580,0.3,0.0,35.7
1,down_gemv40,up_m2,block,100.421,9.7,,
1,down_gemv40,up_m4,norm,4.579,0.4,0.0,13.4
1,down_gemv40,up_m4,down,53.284,5.2,129.1,129.5
1,down_gemv40,up_m4,down_reduce,0.823,0.1,0.0,0.0
1,down_gemv40,up_m4,up,45.826,4.4,143.0,143.5
1,down_gemv40,up_m4,combine,2.578,0.3,0.0,35.7
1,down_gemv40,up_m4,block,107.090,10.4,,
1,down_gemv80,up_m1,norm,4.590,0.4,0.0,13.4
1,down_gemv80,up_m1,down,50.071,4.9,137.4,137.8
1,down_gemv80,up_m1,down_reduce,1.095,0.1,0.0,0.0
1,down_gemv80,up_m1,up,41.853,4.1,156.6,157.1
1,down_gemv80,up_m1,combine,2.586,0.3,0.0,35.6
1,down_gemv80,up_m1,block,100.195,9.7,,
1,down_gemv80,up_m2,norm,4.580,0.4,0.0,13.4
1,down_gemv80,up_m2,down,50.346,4.9,136.7,137.1
1,down_gemv80,up_m2,down_reduce,1.091,0.1,0.0,0.0
1,down_gemv80,up_m2,up,39.294,3.8,166.8,167.3
1,down_gemv80,up_m2,combine,2.578,0.3,0.0,35.7
1,down_gemv80,up_m2,block,97.889,9.5,,
1,down_gemv80,up_m4,norm,4.575,0.4,0.0,13.4
1,down_gemv80,up_m4,down,50.006,4.9,137.6,138.0
1,down_gemv80,up_m4,down_reduce,1.097,0.1,0.0,0.0
1,down_gemv80,up_m4,up,45.804,4.4,143.1,143.5
1,down_gemv80,up_m4,combine,2.585,0.3,0.0,35.7
1,down_gemv80,up_m4,block,104.067,10.1,,
1,down_gemv160,up_m1,norm,4.592,0.4,0.0,13.4
1,down_gemv160,up_m1,down,30.038,2.9,229.1,229.8
1,down_gemv160,up_m1,down_reduce,1.688,0.2,0.0,0.0
1,down_gemv160,up_m1,up,41.676,4.0,157.3,157.7
1,down_gemv160,up_m1,combine,2.589,0.3,0.0,35.6
1,down_gemv160,up_m1,block,80.583,7.8,,
1,down_gemv160,up_m2,norm,4.601,0.4,0.0,13.4
1,down_gemv160,up_m2,down,30.199,2.9,227.9,228.5
1,down_gemv160,up_m2,down_reduce,1.681,0.2,0.0,0.0
1,down_gemv160,up_m2,up,38.752,3.8,169.1,169.6
1,down_gemv160,up_m2,combine,2.439,0.2,0.0,37.8
1,down_gemv160,up_m2,block,77.672,7.5,,
1,down_gemv160,up_m4,norm,4.395,0.4,0.0,14.0
1,down_gemv160,up_m4,down,30.088,2.9,228.7,229.4
1,down_gemv160,up_m4,down_reduce,1.659,0.2,0.0,0.0
1,down_gemv160,up_m4,up,44.997,4.4,145.6,146.1
1,down_gemv160,up_m4,combine,2.446,0.2,0.0,37.7
1,down_gemv160,up_m4,block,83.585,8.1,,
