tokens,cells,attn_kernel,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
64,2048,qt1_kt2,gemm_m8,gemm_m8,attn,12.099,0.1,4160.0,0.0
64,2048,qt1_kt2,gemm_m8,gemm_m8,out,286.196,3.4,7034.6,112.7
64,2048,qt1_kt2,gemm_m8,gemm_m8,layer,773.416,9.3,,
64,2048,qt1_kt4,gemm_m2,gemm_m2,qkv,502.763,6.0,9093.3,142.7
64,2048,qt1_kt4,gemm_m2,gemm_m2,pack,8.097,0.1,0.0,339.9
64,2048,qt1_kt4,gemm_m2,gemm_m2,idx,3.552,0.0,0.0,0.0
64,2048,qt1_kt4,gemm_m2,gemm_m2,score,11.296,0.1,2970.5,0.0
64,2048,qt1_kt4,gemm_m2,gemm_m2,attn,13.507,0.2,3726.3,0.0
64,2048,qt1_kt4,gemm_m2,gemm_m2,out,157.123,1.9,12813.3,205.2
64,2048,qt1_kt4,gemm_m2,gemm_m2,layer,696.338,8.4,,
64,2048,qt1_kt4,gemm_m2,gemm_m4,qkv,501.207,6.0,9121.6,143.2
64,2048,qt1_kt4,gemm_m2,gemm_m4,pack,8.223,0.1,0.0,334.7
64,2048,qt1_kt4,gemm_m2,gemm_m4,idx,3.547,0.0,0.0,0.0
64,2048,qt1_kt4,gemm_m2,gemm_m4,score,11.124,0.1,3016.4,0.0
64,2048,qt1_kt4,gemm_m2,gemm_m4,attn,13.582,0.2,3705.8,0.0
64,2048,qt1_kt4,gemm_m2,gemm_m4,out,195.388,2.3,10303.9,165.0
64,2048,qt1_kt4,gemm_m2,gemm_m4,layer,733.071,8.8,,
64,2048,qt1_kt4,gemm_m2,gemm_m8,qkv,501.398,6.0,9118.1,143.1
64,2048,qt1_kt4,gemm_m2,gemm_m8,pack,8.175,0.1,0.0,336.7
64,2048,qt1_kt4,gemm_m2,gemm_m8,idx,3.546,0.0,0.0,0.0
64,2048,qt1_kt4,gemm_m2,gemm_m8,score,11.159,0.1,3006.9,0.0
64,2048,qt1_kt4,gemm_m2,gemm_m8,attn,13.577,0.2,3707.1,0.0
64,2048,qt1_kt4,gemm_m2,gemm_m8,out,285.444,3.4,7053.1,113.0
64,2048,qt1_kt4,gemm_m2,gemm_m8,layer,823.299,9.9,,
64,2048,qt1_kt4,gemm_m4,gemm_m2,qkv,410.194,4.9,11145.4,174.9
64,2048,qt1_kt4,gemm_m4,gemm_m2,pack,8.629,0.1,0.0,319.0
64,2048,qt1_kt4,gemm_m4,gemm_m2,idx,3.611,0.0,0.0,0.0
64,2048,qt1_kt4,gemm_m4,gemm_m2,score,11.343,0.1,2958.2,0.0
64,2048,qt1_kt4,gemm_m4,gemm_m2,attn,14.115,0.2,3565.8,0.0
64,2048,qt1_kt4,gemm_m4,gemm_m2,out,163.691,2.0,12299.2,197.0
64,2048,qt1_kt4,gemm_m4,gemm_m2,layer,611.583,7.3,,
64,2048,qt1_kt4,gemm_m4,gemm_m4,qkv,415.684,5.0,10998.2,172.6
64,2048,qt1_kt4,gemm_m4,gemm_m4,pack,8.063,0.1,0.0,341.4
64,2048,qt1_kt4,gemm_m4,gemm_m4,idx,3.545,0.0,0.0,0.0
64,2048,qt1_kt4,gemm_m4,gemm_m4,score,11.208,0.1,2993.8,0.0
64,2048,qt1_kt4,gemm_m4,gemm_m4,attn,13.671,0.2,3681.6,0.0
64,2048,qt1_kt4,gemm_m4,gemm_m4,out,197.729,2.4,10181.9,163.1
64,2048,qt1_kt4,gemm_m4,gemm_m4,layer,649.900,7.8,,
64,2048,qt1_kt4,gemm_m4,gemm_m8,qkv,411.296,4.9,11115.6,174.5
64,2048,qt1_kt4,gemm_m4,gemm_m8,pack,8.300,0.1,0.0,331.6
64,2048,qt1_kt4,gemm_m4,gemm_m8,idx,3.575,0.0,0.0,0.0
64,2048,qt1_kt4,gemm_m4,gemm_m8,score,11.219,0.1,2990.9,0.0
64,2048,qt1_kt4,gemm_m4,gemm_m8,attn,13.919,0.2,3616.0,0.0
64,2048,qt1_kt4,gemm_m4,gemm_m8,out,287.622,3.5,6999.7,112.1
