tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
128,48,476.1,268.9,0.687,45.4,0.7,43.8,11.5,343.6,6.6,12.6,2.3,9.5
512,48,872.0,587.1,1.500,84.9,2.5,117.6,30.2,596.2,6.6,18.8,6.1,9.1
1024,48,1320.8,775.3,1.981,172.8,4.7,223.9,62.1,800.1,6.7,30.4,11.4,8.7
2048,48,2155.1,950.3,2.428,339.6,8.8,435.9,133.4,1149.0,6.7,56.0,19.0,6.9
