tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
512,48,752.2,680.6,1.739,68.3,2.1,88.5,30.7,549.8,2.6,8.9,3.3,2.4
1024,48,1108.1,924.1,2.361,134.1,3.6,167.5,62.7,723.9,2.6,12.5,7.2,3.8
2048,48,1756.4,1166.0,2.979,289.0,7.1,323.6,142.8,955.7,2.5,34.5,17.6,6.4
4096,48,3146.6,1301.7,3.326,584.2,13.8,655.8,380.6,1436.9,2.5,70.6,30.4,11.8
8192,48,6159.8,1329.9,3.398,1158.3,27.4,1364.9,1055.6,2407.9,2.5,140.0,53.4,21.3
