tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
512,48,752.1,680.8,1.739,68.0,2.1,88.9,30.7,549.2,2.6,8.8,3.3,2.6
1024,48,1110.5,922.1,2.356,134.0,3.6,168.0,62.6,725.6,2.6,12.6,8.4,4.3
2048,48,1759.1,1164.2,2.974,289.7,7.0,323.7,143.4,957.2,2.5,34.3,17.4,6.8
4096,48,3149.2,1300.6,3.323,583.1,13.8,658.2,380.6,1438.5,2.5,70.6,29.6,12.5
8192,48,6173.1,1327.0,3.390,1159.4,27.5,1367.4,1062.4,2411.0,2.5,139.7,56.2,21.3
