tokens,up_kernel,down_kernel,shexp_kernels,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,combine,2.770,0.1,0.0,44.4
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,block,711.109,34.1,,
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,router,14.402,0.7,182.4,182.7
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,router.sum,0.878,0.0,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,route,5.339,0.3,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,perm.up,2.451,0.1,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,perm.down,2.486,0.1,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,up,289.001,13.9,7256.6,63.8
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,down,102.599,4.9,10220.1,89.8
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,shexp.up,24.861,1.2,263.6,140.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,shexp.down,15.448,0.7,212.1,112.7
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,combine,2.772,0.1,0.0,44.3
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,block,460.237,22.1,,
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,router,14.376,0.7,182.7,183.1
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,router.sum,0.876,0.0,0.0,0.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,route,5.332,0.3,0.0,0.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,perm.up,2.441,0.1,0.0,0.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,up,290.699,14.0,7214.2,63.4
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,down,96.996,4.7,10810.5,95.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,shexp.up,24.731,1.2,265.0,140.8
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,shexp.down,15.554,0.7,210.7,111.9
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,combine,2.807,0.1,0.0,43.8
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,block,453.812,21.8,,
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,router,15.489,0.7,169.6,169.9
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,router.sum,0.883,0.0,0.0,0.0
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,route,5.360,0.3,0.0,0.0
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,perm.up,2.559,0.1,0.0,0.0
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,perm.down,2.481,0.1,0.0,0.0
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,up,506.020,24.3,8288.8,36.4
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,down,109.196,5.2,19205.4,84.4
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,shexp.up,44.368,2.1,147.7,78.5
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,shexp.down,21.723,1.0,150.8,80.1
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,combine,2.825,0.1,0.0,43.5
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,block,710.904,34.1,,
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,router,14.236,0.7,184.5,184.9
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,router.sum,0.868,0.0,0.0,0.0
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,route,5.317,0.3,0.0,0.0
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,perm.up,2.459,0.1,0.0,0.0
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,up,291.202,14.0,7201.7,63.3
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,down,100.467,4.8,10437.0,91.7
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,shexp.up,26.404,1.3,248.2,131.9
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,shexp.down,15.656,0.8,209.3,111.2
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,combine,2.810,0.1,0.0,43.7
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,block,459.419,22.1,,
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,router,15.431,0.7,170.2,170.5
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,router.sum,0.886,0.0,0.0,0.0
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,route,5.324,0.3,0.0,0.0
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,perm.up,2.564,0.1,0.0,0.0
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,perm.down,2.476,0.1,0.0,0.0
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,up,496.718,23.8,8444.0,37.1
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,down,144.246,6.9,14538.7,63.9
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,shexp.up,44.085,2.1,148.7,79.0
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,shexp.down,21.805,1.0,150.3,79.8
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,combine,2.780,0.1,0.0,44.2
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,block,736.315,35.3,,
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,router,15.220,0.7,172.6,172.9
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,router.sum,0.876,0.0,0.0,0.0
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,route,5.347,0.3,0.0,0.0
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,perm.up,2.566,0.1,0.0,0.0
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,perm.down,2.644,0.1,0.0,0.0
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,up,388.227,18.6,10803.7,47.5
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,down,186.195,8.9,11263.2,49.5
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,shexp.up,44.040,2.1,148.8,79.1
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,shexp.down,21.821,1.0,150.2,79.8
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,combine,2.797,0.1,0.0,43.9
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,block,669.733,32.1,,
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,router,15.526,0.7,169.2,169.5
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,router.sum,0.883,0.0,0.0,0.0
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,route,5.329,0.3,0.0,0.0
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,perm.up,2.501,0.1,0.0,0.0
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,perm.down,2.529,0.1,0.0,0.0
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,up,393.464,18.9,10659.9,46.8
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,down,117.991,5.7,17773.8,78.1
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,shexp.up,43.963,2.1,149.1,79.2
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,shexp.down,21.763,1.0,150.6,80.0
