tokens,cells,selection,attn_kernel,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
4096,4096,dense,qt1_kt2,gemm_m8,gemm_m8,qkv,12119.554,145.4,24142.4,7.6
4096,4096,dense,qt1_kt2,gemm_m8,gemm_m8,pack,966.365,11.6,0.0,182.3
4096,4096,dense,qt1_kt2,gemm_m8,gemm_m8,idx,39.155,0.5,0.0,0.0
4096,4096,dense,qt1_kt2,gemm_m8,gemm_m8,score,916.950,11.0,4684.0,0.0
4096,4096,dense,qt1_kt2,gemm_m8,gemm_m8,attn,9833.947,118.0,20964.0,0.0
4096,4096,dense,qt1_kt2,gemm_m8,gemm_m8,out,3384.600,40.6,38069.2,24.2
4096,4096,dense,qt1_kt2,gemm_m8,gemm_m8,layer,27260.571,327.1,,
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m2,qkv,40712.910,488.6,7186.8,2.3
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m2,pack,968.151,11.6,0.0,182.0
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m2,idx,43.029,0.5,0.0,0.0
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m2,score,900.001,10.8,4772.2,0.0
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m2,select,1084.989,13.0,0.0,63.8
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m2,attn,12085.971,145.0,17057.7,0.0
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m2,out,4582.975,55.0,28114.7,17.8
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m2,layer,60378.026,724.5,,
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m4,qkv,40789.913,489.5,7173.2,2.3
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m4,pack,980.362,11.8,0.0,179.7
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m4,idx,46.251,0.6,0.0,0.0
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m4,score,906.434,10.9,4738.3,0.0
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m4,select,1132.960,13.6,0.0,61.1
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m4,attn,12114.930,145.4,17016.9,0.0
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m4,out,3660.094,43.9,35203.7,22.3
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m4,layer,59630.944,715.6,,
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m8,qkv,40576.812,486.9,7210.9,2.3
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m8,pack,958.577,11.5,0.0,183.8
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m8,idx,43.911,0.5,0.0,0.0
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m8,score,900.398,10.8,4770.1,0.0
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m8,select,1123.133,13.5,0.0,61.6
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m8,attn,12138.831,145.7,16983.4,0.0
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m8,out,3347.560,40.2,38490.4,24.4
4096,4096,sparse,qt1_kt2,gemm_m2,gemm_m8,layer,59089.222,709.1,,
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m2,qkv,21016.559,252.2,13922.1,4.4
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m2,pack,963.907,11.6,0.0,182.8
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m2,idx,45.306,0.5,0.0,0.0
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m2,score,900.270,10.8,4770.8,0.0
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m2,select,1092.379,13.1,0.0,63.4
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m2,attn,12140.458,145.7,16981.1,0.0
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m2,out,4612.447,55.3,27935.1,17.7
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m2,layer,40771.326,489.3,,
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m4,qkv,21021.829,252.3,13918.6,4.4
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m4,pack,968.997,11.6,0.0,181.8
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m4,idx,42.681,0.5,0.0,0.0
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m4,score,895.008,10.7,4798.8,0.0
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m4,select,1121.955,13.5,0.0,61.7
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m4,attn,12092.022,145.1,17049.1,0.0
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m4,out,3651.401,43.8,35287.6,22.4
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m4,layer,39793.893,477.5,,
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m8,qkv,20856.687,250.3,14028.8,4.4
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m8,pack,962.865,11.6,0.0,183.0
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m8,idx,46.187,0.6,0.0,0.0
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m8,score,905.937,10.9,4740.9,0.0
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m8,select,1124.797,13.5,0.0,61.5
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m8,attn,12094.259,145.1,17046.0,0.0
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m8,out,3365.710,40.4,38282.9,24.3
4096,4096,sparse,qt1_kt2,gemm_m4,gemm_m8,layer,39356.442,472.3,,
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m2,qkv,12150.173,145.8,24081.5,7.6
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m2,pack,956.012,11.5,0.0,184.3
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m2,idx,43.795,0.5,0.0,0.0
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m2,score,905.123,10.9,4745.2,0.0
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m2,select,1131.585,13.6,0.0,61.2
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m2,attn,12119.358,145.4,17010.7,0.0
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m2,out,4566.279,54.8,28217.5,17.9
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m2,layer,31872.325,382.5,,
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m4,qkv,12085.895,145.0,24209.6,7.6
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m4,pack,959.182,11.5,0.0,183.7
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m4,idx,46.688,0.6,0.0,0.0
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m4,score,896.771,10.8,4789.4,0.0
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m4,select,1137.252,13.6,0.0,60.9
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m4,attn,12120.829,145.4,17008.6,0.0
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m4,out,3642.268,43.7,35376.0,22.5
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m4,layer,30888.885,370.7,,
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,qkv,12167.502,146.0,24047.2,7.6
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,pack,955.154,11.5,0.0,184.4
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,idx,43.903,0.5,0.0,0.0
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,score,900.106,10.8,4771.6,0.0
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,select,1138.851,13.7,0.0,60.8
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,attn,12107.861,145.3,17026.8,0.0
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,out,3417.501,41.0,37702.7,23.9
4096,4096,sparse,qt1_kt2,gemm_m8,gemm_m8,layer,30730.878,368.8,,
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m2,qkv,40735.906,488.8,7182.7,2.3
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m2,pack,962.476,11.5,0.0,183.0
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m2,idx,43.715,0.5,0.0,0.0
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m2,score,907.636,10.9,4732.0,0.0
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m2,select,1135.713,13.6,0.0,60.9
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m2,attn,17610.059,211.3,11706.9,0.0
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m2,out,4654.563,55.9,27682.3,17.6
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m2,layer,66050.068,792.6,,
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m4,qkv,40630.734,487.6,7201.3,2.3
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m4,pack,946.622,11.4,0.0,186.1
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m4,idx,45.281,0.5,0.0,0.0
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m4,score,907.279,10.9,4733.9,0.0
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m4,select,1132.924,13.6,0.0,61.1
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m4,attn,17665.564,212.0,11670.1,0.0
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m4,out,3636.962,43.6,35427.7,22.5
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m4,layer,64965.366,779.6,,
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m8,qkv,40725.591,488.7,7184.5,2.3
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m8,pack,967.658,11.6,0.0,182.0
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m8,idx,43.442,0.5,0.0,0.0
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m8,score,898.186,10.8,4781.8,0.0
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m8,select,1056.880,12.7,0.0,65.5
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m8,attn,17545.833,210.5,11749.7,0.0
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m8,out,3362.805,40.4,38315.9,24.3
4096,4096,sparse,qt1_kt4,gemm_m2,gemm_m8,layer,64600.395,775.2,,
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m2,qkv,21035.195,252.4,13909.8,4.4
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m2,pack,956.076,11.5,0.0,184.3
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m2,idx,43.530,0.5,0.0,0.0
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m2,score,906.061,10.9,4740.3,0.0
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m2,select,1128.732,13.5,0.0,61.3
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m2,attn,17685.121,212.2,11657.2,0.0
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m2,out,4677.130,56.1,27548.7,17.5
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m2,layer,46431.845,557.2,,
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m4,qkv,20934.660,251.2,13976.6,4.4
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m4,pack,956.942,11.5,0.0,184.1
4096,4096,sparse,qt1_kt4,gemm_m4,gemm_m4,idx,43.658,0.5,0.0,0.0
