tokens,label,n_per_pass,ms_per_pass,us_each,pct_of_gpu
4096,hc.down,97.0,106.40,1096.9,3.38
4096,attn.qkv,12.0,91.64,7636.5,2.91
4096,move,196.0,70.60,360.2,2.24
4096,dn.conv,36.0,55.79,1549.8,1.77
4096,moe.shexp.up,48.0,52.52,1094.2,1.67
4096,attn.out,12.0,40.30,3358.3,1.28
4096,dn.norm,36.0,40.03,1112.0,1.27
4096,attn.score,12.0,34.83,2902.8,1.11
4096,attn.expand,12.0,29.93,2493.8,0.95
4096,moe.shexp.down,48.0,22.39,466.4,0.71
4096,moe.router,48.0,16.03,333.9,0.51
4096,attn.select,12.0,15.90,1325.1,0.51
4096,attn.pack,12.0,12.54,1045.1,0.40
4096,ple.kv,1.0,7.24,7242.1,0.23
4096,moe.perm.up,48.0,5.61,116.9,0.18
4096,hc.combine,2.0,5.44,2719.2,0.17
4096,moe.route,48.0,4.59,95.6,0.15
4096,ple.gate,1.0,3.57,3570.7,0.11
4096,ple.conv,1.0,3.01,3012.5,0.10
4096,hc.norm,3.0,2.99,997.1,0.10
4096,head.head,1.0,2.49,2491.0,0.08
4096,attn.idx,12.0,1.04,86.9,0.03
4096,dn.hist,36.0,0.15,4.1,0.00
4096,ple.hist,1.0,0.00,2.7,0.00
4096,hc.down_reduce,1.0,0.00,1.3,0.00
8192,moe.up,48.0,1373.88,28622.6,22.27
8192,hc.cn,94.0,661.10,7033.0,10.71
8192,dn.qkv,36.0,627.01,17417.1,10.16
8192,moe.down,48.0,615.09,12814.5,9.97
8192,attn.attn,12.0,594.67,49555.9,9.64
8192,dn.scan,36.0,316.73,8798.1,5.13
8192,hc.up,97.0,279.88,2885.4,4.54
8192,dn.out,36.0,230.79,6410.9,3.74
8192,moe.combine,48.0,219.76,4578.4,3.56
8192,hc.down,97.0,201.51,2077.4,3.27
8192,attn.qkv,12.0,184.79,15399.5,3.00
8192,move,196.0,139.72,712.9,2.26
8192,dn.conv,36.0,113.67,3157.6,1.84
8192,moe.shexp.up,48.0,105.76,2203.3,1.71
8192,attn.out,12.0,80.37,6697.8,1.30
8192,attn.expand,12.0,79.79,6649.2,1.29
8192,dn.norm,36.0,79.08,2196.6,1.28
8192,attn.select,12.0,53.37,4447.2,0.86
8192,moe.shexp.down,48.0,44.52,927.4,0.72
8192,attn.score,12.0,41.74,3478.5,0.68
8192,moe.router,48.0,32.05,667.6,0.52
8192,attn.pack,12.0,25.58,2132.1,0.41
8192,ple.kv,1.0,14.48,14481.7,0.23
8192,hc.combine,2.0,10.90,5449.9,0.18
8192,moe.perm.up,48.0,10.85,225.9,0.18
8192,moe.route,48.0,9.14,190.5,0.15
8192,ple.gate,1.0,7.02,7023.6,0.11
8192,hc.norm,3.0,5.99,1997.1,0.10
8192,ple.conv,1.0,5.96,5956.8,0.10
8192,head.head,1.0,2.52,2515.9,0.04
8192,attn.idx,12.0,2.11,176.1,0.03
8192,dn.hist,36.0,0.14,3.8,0.00
8192,ple.hist,1.0,0.00,2.7,0.00
8192,hc.down_reduce,1.0,0.00,1.5,0.00
