tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
512,48,752.2,680.7,1.739,68.1,2.1,88.7,30.7,550.0,2.6,8.8,3.4,2.8
1024,48,1109.3,923.1,2.358,132.2,3.6,168.2,62.7,726.1,2.6,12.6,8.1,3.6
2048,48,1720.1,1190.6,3.042,247.9,7.1,323.9,143.3,959.7,2.5,34.5,14.3,6.4
4096,48,3067.2,1335.4,3.412,492.3,13.8,660.5,381.1,1444.4,2.5,70.7,27.9,12.3
8192,48,5977.2,1370.5,3.501,964.6,27.4,1364.5,1059.5,2416.3,2.5,140.0,51.3,23.2
