tokens,up_kernel,down_kernel,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,m2,m4,10,20,640,10,640,perm.up,3.068,0.1,0.0,0.0
1,m2,m4,10,20,640,10,640,perm.down,2.988,0.1,0.0,0.0
1,m2,m4,10,20,640,10,640,up,489.942,23.5,8560.8,37.6
1,m2,m4,10,20,640,10,640,down,101.509,4.9,20659.8,121.1
1,m2,m4,10,20,640,10,640,shexp.up,154.558,7.4,42.4,22.5
1,m2,m4,10,20,640,10,640,shexp.down,22.223,1.1,147.5,78.3
1,m2,m4,10,20,640,10,640,combine,21.236,1.0,0.0,5.8
1,m2,m4,10,20,640,10,640,block,865.854,41.6,,
1,m2,w2m1,10,10,320,10,320,router,62.871,3.0,41.8,41.9
1,m2,w2m1,10,10,320,10,320,route,5.805,0.3,0.0,0.0
1,m2,w2m1,10,10,320,10,320,perm.up,2.947,0.1,0.0,0.0
1,m2,w2m1,10,10,320,10,320,perm.down,2.943,0.1,0.0,0.0
1,m2,w2m1,10,10,320,10,320,up,259.148,12.4,8092.5,71.1
1,m2,w2m1,10,10,320,10,320,down,94.679,4.5,11075.1,129.8
1,m2,w2m1,10,10,320,10,320,shexp.up,154.329,7.4,42.5,22.6
1,m2,w2m1,10,10,320,10,320,shexp.down,15.747,0.8,208.1,110.5
1,m2,w2m1,10,10,320,10,320,combine,20.988,1.0,0.0,5.9
1,m2,w2m1,10,10,320,10,320,block,619.457,29.7,,
1,m2,w4m1,10,20,640,10,640,router,62.802,3.0,41.8,41.9
1,m2,w4m1,10,20,640,10,640,route,5.807,0.3,0.0,0.0
1,m2,w4m1,10,20,640,10,640,perm.up,3.055,0.1,0.0,0.0
1,m2,w4m1,10,20,640,10,640,perm.down,2.989,0.1,0.0,0.0
1,m2,w4m1,10,20,640,10,640,up,483.869,23.2,8668.3,38.1
1,m2,w4m1,10,20,640,10,640,down,120.320,5.8,17429.8,102.1
1,m2,w4m1,10,20,640,10,640,shexp.up,154.762,7.4,42.3,22.5
1,m2,w4m1,10,20,640,10,640,shexp.down,19.259,0.9,170.1,90.4
1,m2,w4m1,10,20,640,10,640,combine,21.047,1.0,0.0,5.8
1,m2,w4m1,10,20,640,10,640,block,873.910,41.9,,
1,m4,m1,10,10,640,40,640,router,63.402,3.0,41.4,41.5
1,m4,m1,10,10,640,40,640,route,5.840,0.3,0.0,0.0
1,m4,m1,10,10,640,40,640,perm.up,3.024,0.1,0.0,0.0
1,m4,m1,10,10,640,40,640,perm.down,3.202,0.2,0.0,0.0
1,m4,m1,10,10,640,40,640,up,362.006,17.4,11586.3,50.9
1,m4,m1,10,10,640,40,640,down,166.709,8.0,12579.7,73.7
1,m4,m1,10,10,640,40,640,shexp.up,211.106,10.1,31.0,16.5
1,m4,m1,10,10,640,40,640,shexp.down,15.785,0.8,207.6,110.3
1,m4,m1,10,10,640,40,640,combine,22.139,1.1,0.0,5.6
1,m4,m1,10,10,640,40,640,block,853.213,41.0,,
1,m4,m2,10,10,640,20,640,router,64.072,3.1,41.0,41.1
1,m4,m2,10,10,640,20,640,route,5.923,0.3,0.0,0.0
1,m4,m2,10,10,640,20,640,perm.up,3.086,0.1,0.0,0.0
1,m4,m2,10,10,640,20,640,perm.down,3.139,0.2,0.0,0.0
1,m4,m2,10,10,640,20,640,up,362.762,17.4,11562.1,50.8
1,m4,m2,10,10,640,20,640,down,107.779,5.2,19457.9,114.0
1,m4,m2,10,10,640,20,640,shexp.up,210.165,10.1,31.2,16.6
1,m4,m2,10,10,640,20,640,shexp.down,15.262,0.7,214.7,114.1
1,m4,m2,10,10,640,20,640,combine,21.216,1.0,0.0,5.8
1,m4,m2,10,10,640,20,640,block,793.404,38.1,,
1,m4,m4,10,10,640,10,640,router,62.886,3.0,41.8,41.8
1,m4,m4,10,10,640,10,640,route,5.802,0.3,0.0,0.0
1,m4,m4,10,10,640,10,640,perm.up,2.999,0.1,0.0,0.0
1,m4,m4,10,10,640,10,640,perm.down,3.017,0.1,0.0,0.0
1,m4,m4,10,10,640,10,640,up,360.437,17.3,11636.7,51.1
1,m4,m4,10,10,640,10,640,down,99.114,4.8,21159.0,124.0
1,m4,m4,10,10,640,10,640,shexp.up,209.716,10.1,31.2,16.6
1,m4,m4,10,10,640,10,640,shexp.down,22.169,1.1,147.8,78.5
1,m4,m4,10,10,640,10,640,combine,21.221,1.0,0.0,5.8
1,m4,m4,10,10,640,10,640,block,787.361,37.8,,
1,m4,w2m1,10,10,640,20,640,router,62.759,3.0,41.9,41.9
1,m4,w2m1,10,10,640,20,640,route,5.813,0.3,0.0,0.0
1,m4,w2m1,10,10,640,20,640,perm.up,3.003,0.1,0.0,0.0
1,m4,w2m1,10,10,640,20,640,perm.down,3.058,0.1,0.0,0.0
1,m4,w2m1,10,10,640,20,640,up,360.933,17.3,11620.7,51.1
1,m4,w2m1,10,10,640,20,640,down,131.166,6.3,15988.5,93.7
1,m4,w2m1,10,10,640,20,640,shexp.up,210.757,10.1,31.1,16.5
1,m4,w2m1,10,10,640,20,640,shexp.down,19.469,0.9,168.3,89.4
1,m4,w2m1,10,10,640,20,640,combine,21.227,1.0,0.0,5.8
1,m4,w2m1,10,10,640,20,640,block,818.185,39.3,,
1,m4,w4m1,10,10,640,10,640,router,63.188,3.0,41.6,41.6
1,m4,w4m1,10,10,640,10,640,route,5.839,0.3,0.0,0.0
1,m4,w4m1,10,10,640,10,640,perm.up,3.163,0.2,0.0,0.0
