tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
512,48,747.6,684.8,1.750,68.3,2.1,88.7,30.4,545.0,2.6,9.0,3.7,2.7
1024,48,1094.4,935.7,2.390,131.8,3.6,168.0,61.5,713.2,2.6,12.4,8.0,3.6
2048,48,1697.0,1206.9,3.083,248.2,7.1,323.6,136.6,943.2,2.5,34.4,16.7,6.9
4096,48,3003.4,1363.8,3.484,490.9,13.8,657.0,352.5,1413.5,2.5,70.8,28.6,12.2
8192,48,5836.0,1403.7,3.586,963.9,27.5,1363.3,976.5,2359.3,2.5,140.2,53.8,21.1
