tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
1,24,16.6,60.3,0.154,2.1,0.3,4.0,1.3,5.3,2.4,0.3,0.1,0.7
2,24,19.5,102.7,0.262,2.0,0.3,4.1,1.2,8.2,2.4,0.3,0.1,0.9
3,24,57.6,52.1,0.133,14.0,0.3,8.7,2.7,28.5,2.4,0.3,0.1,0.8
4,24,60.1,66.6,0.170,14.1,0.3,9.0,2.7,30.7,2.4,0.3,0.1,0.8
6,24,65.2,92.0,0.235,13.9,0.3,8.5,2.7,36.4,2.4,0.3,0.2,0.7
8,24,72.7,110.1,0.281,14.0,0.3,8.7,2.7,43.5,2.4,0.3,0.2,0.9
