tokens,up_kernel,down_kernel,shexp_kernels,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,router,14.416,0.7,182.2,182.6
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,router.sum,0.946,0.0,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,route,5.392,0.3,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,perm.up,2.421,0.1,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,up,255.447,12.3,4104.9,72.2
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,down,97.477,4.7,5378.6,126.1
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,shexp.up,24.255,1.2,270.2,143.5
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,shexp.down,11.539,0.6,284.0,150.9
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,combine,2.952,0.1,0.0,41.6
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,block,414.845,19.9,,
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,router,14.389,0.7,182.5,182.9
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,router.sum,0.906,0.0,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,route,5.390,0.3,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,perm.up,2.526,0.1,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,perm.down,2.446,0.1,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,up,297.186,14.3,7056.7,62.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,down,97.309,4.7,10775.7,126.3
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,shexp.up,25.320,1.2,258.8,137.5
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,shexp.down,15.699,0.8,208.7,110.9
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,combine,2.825,0.1,0.0,43.5
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,block,463.996,22.3,,
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,router,15.386,0.7,170.7,171.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,router.sum,0.866,0.0,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,route,5.352,0.3,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,perm.up,2.684,0.1,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,perm.down,2.459,0.1,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,up,472.013,22.7,8886.0,39.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,down,108.638,5.2,19304.0,113.1
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,shexp.up,44.095,2.1,148.6,79.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,shexp.down,21.660,1.0,151.3,80.4
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,combine,2.785,0.1,0.0,44.1
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,block,675.938,32.4,,
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,router,14.492,0.7,181.2,181.6
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,router.sum,0.871,0.0,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,route,5.329,0.3,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,perm.up,2.501,0.1,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,perm.down,2.426,0.1,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,up,280.367,13.5,7480.0,65.7
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,down,104.072,5.0,10075.5,118.1
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,shexp.up,24.894,1.2,263.3,139.9
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,shexp.down,15.596,0.7,210.1,111.6
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,combine,2.852,0.1,0.0,43.1
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,block,453.400,21.8,,
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,router,15.278,0.7,171.9,172.3
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,router.sum,0.881,0.0,0.0,0.0
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,route,5.344,0.3,0.0,0.0
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,perm.up,2.667,0.1,0.0,0.0
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,perm.down,2.474,0.1,0.0,0.0
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,up,471.690,22.6,8892.1,39.1
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,down,122.099,5.9,17175.8,100.6
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,shexp.up,43.216,2.1,151.6,80.6
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,shexp.down,21.678,1.0,151.2,80.3
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,combine,2.815,0.1,0.0,43.7
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,block,688.142,33.0,,
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,router,14.336,0.7,183.2,183.6
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,router.sum,0.868,0.0,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,route,5.347,0.3,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,perm.up,2.456,0.1,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,perm.down,2.489,0.1,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,up,298.306,14.3,7030.2,61.8
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,down,91.440,4.4,11467.4,134.4
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,shexp.up,24.829,1.2,263.9,140.2
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,shexp.down,15.521,0.7,211.1,112.2
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,combine,2.827,0.1,0.0,43.5
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,block,458.419,22.0,,
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,router,14.492,0.7,181.2,181.6
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,router.sum,0.891,0.0,0.0,0.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,route,5.344,0.3,0.0,0.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,perm.up,2.454,0.1,0.0,0.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,up,291.578,14.0,7192.4,63.2
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,down,91.217,4.4,11495.4,134.7
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,shexp.up,24.538,1.2,267.1,141.9
