tokens,scan_kernel,operands,regs_per_lane,workgroups,qk_reread,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,qkv,119.513,4.3,706.0,706.1
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,qkv.sum,1.362,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,conv,2.629,0.1,0.0,31.2
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,scan,25.728,0.9,244.5,277.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,norm,1.272,0.0,0.0,48.3
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,out,48.251,1.7,652.0,652.2
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,out.sum,1.232,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,hist,1.064,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k8,gemm_m2/k32,layer,201.051,7.2,,
2,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,qkv,231.632,8.3,728.5,364.3
2,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,conv,2.684,0.1,0.0,61.0
2,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,scan,27.805,1.0,452.5,286.4
2,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,norm,1.312,0.0,0.0,93.7
2,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,out,164.019,5.9,383.6,191.9
2,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,hist,1.067,0.0,0.0,0.0
2,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,layer,428.519,15.4,,
3,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,qkv,232.982,8.4,1086.5,362.2
3,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,conv,2.846,0.1,0.0,86.4
3,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,scan,28.563,1.0,660.8,308.0
3,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,norm,1.355,0.0,0.0,136.0
3,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,out,163.800,5.9,576.1,192.3
3,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,hist,1.185,0.0,0.0,0.0
3,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,layer,430.731,15.5,,
4,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,qkv,233.464,8.4,1445.7,361.5
4,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,conv,3.103,0.1,0.0,105.6
4,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,scan,29.064,1.0,865.9,331.5
4,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,norm,1.363,0.0,0.0,180.3
4,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,out,163.201,5.9,771.0,193.1
4,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,hist,1.173,0.0,0.0,0.0
4,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,layer,431.368,15.5,,
6,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,qkv,232.132,8.4,2180.9,363.6
6,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,conv,3.105,0.1,0.0,158.3
6,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,scan,30.218,1.1,1249.2,374.1
6,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,norm,1.422,0.1,0.0,259.2
6,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,out,163.657,5.9,1153.3,192.7
6,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,hist,1.165,0.0,0.0,0.0
6,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,layer,431.699,15.5,,
8,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,qkv,233.544,8.4,2890.3,361.5
8,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,conv,3.326,0.1,0.0,197.0
8,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,scan,31.407,1.1,1602.6,413.2
8,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,norm,1.545,0.1,0.0,318.1
8,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,out,161.835,5.8,1555.0,195.0
8,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,hist,1.170,0.0,0.0,0.0
8,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,layer,432.827,15.6,,
