tokens,cells,selection,attn_kernel,gemm_kernel,out_kernel,qkv_gemv,out_gemv,dispatch,us_per_layer,us_per_graph,gflops,gbps
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k40,k32,attn,7.345,0.1,1.7,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k40,k32,out,17.772,0.2,1770.0,1770.7
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k40,k32,out.sum,1.057,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k40,k32,layer,90.140,1.1,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k1,qkv,39.874,0.5,1791.5,1791.6
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k1,qkv.sum,1.166,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k1,pack,6.009,0.1,0.0,7.2
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k1,idx,3.134,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k1,score,9.160,0.1,57.2,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k1,attn,7.380,0.1,1.7,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k1,out,38.544,0.5,816.1,816.5
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k1,layer,105.267,1.3,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k2,qkv,39.226,0.5,1821.1,1821.2
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k2,qkv.sum,1.167,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k2,pack,5.670,0.1,0.0,7.6
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k2,idx,3.488,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k2,score,9.115,0.1,57.5,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k2,attn,7.331,0.1,1.7,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k2,out,24.694,0.3,1273.9,1274.4
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k2,out.sum,0.676,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k2,layer,91.367,1.1,,
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k4,qkv,39.346,0.5,1815.5,1815.7
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k4,qkv.sum,1.171,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k4,pack,5.723,0.1,0.0,7.5
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k4,idx,3.142,0.0,0.0,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k4,score,9.168,0.1,57.2,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k4,attn,7.387,0.1,1.7,0.0
1,2048,dense,qt1_kt2,gemm_m4,gemm_m2,k8,k4,out,21.415,0.3,1468.9,1469.5
