depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,2048,183.8,11141.87,0.090,0.011,0.003,0.013,0.006,0.041,0.001,0.002,0.009,0.003,0.078
0,tg,4,21.8,183.78,5.441,0.383,0.383,0.595,0.286,0.887,2.383,0.084,0.045,0.186,5.001
2048,pp,2048,196.3,10432.85,0.096,0.011,0.003,0.013,0.011,0.040,0.001,0.002,0.011,0.003,0.081
2048,tg,4,22.6,176.65,5.661,0.406,0.290,0.627,0.346,0.963,2.362,0.088,0.057,0.185,5.082
4096,pp,2048,202.1,10133.28,0.099,0.011,0.003,0.013,0.014,0.040,0.001,0.002,0.010,0.003,0.085
4096,tg,4,21.8,183.52,5.449,0.403,0.275,0.628,0.343,0.878,2.385,0.081,0.065,0.163,4.993
8192,pp,2048,207.3,9880.29,0.101,0.011,0.003,0.013,0.018,0.041,0.001,0.002,0.008,0.003,0.090
8192,tg,4,22.4,178.68,5.596,0.406,0.274,0.627,0.347,0.964,2.386,0.088,0.076,0.173,5.093
16384,pp,2048,216.8,9447.07,0.106,0.011,0.003,0.013,0.022,0.040,0.001,0.002,0.009,0.003,0.093
16384,tg,4,23.0,173.81,5.753,0.412,0.300,0.630,0.357,0.918,2.368,0.079,0.085,0.170,5.065
