arm,pass,tokens,ms,tok_s,rounds,drafted,accepted
plain,0,128,3554.4,36.012,0,0,0
plain,1,128,3478.3,36.799,0,0,0
spec,0,128,3726.2,34.352,85,64,42
spec,1,128,3645.1,35.116,85,64,42
