depth,phase,label,n_per_pass,ms_per_token,us_each
4096,tg,head.head,1.0,2.3839,2384.0
4096,tg,hc.up,97.0,1.7683,18.2
4096,tg,dn.out,36.0,1.6298,45.3
4096,tg,attn.qkv,12.0,1.4351,119.6
4096,tg,hc.down,97.0,1.3485,13.9
4096,tg,attn.attn.split,12.0,0.9049,75.4
4096,tg,moe.shexp.up,48.0,0.7388,15.4
4096,tg,moe.router,48.0,0.7080,14.8
4096,tg,hc.cn,94.0,0.6794,7.2
4096,tg,attn.out,12.0,0.6571,54.8
4096,tg,dn.scan,36.0,0.6429,17.9
4096,tg,move,196.0,0.5544,2.8
4096,tg,moe.shexp.down,48.0,0.4680,9.8
4096,tg,moe.route,48.0,0.2755,5.7
4096,tg,ple.kv,1.0,0.2610,261.0
4096,tg,moe.combine,48.0,0.1507,3.1
4096,tg,dn.conv,36.0,0.1477,4.1
4096,tg,moe.perm.up,48.0,0.1364,2.8
4096,tg,dn.norm,36.0,0.1298,3.6
4096,tg,attn.score,12.0,0.1145,9.5
4096,tg,hc.down_reduce,97.0,0.1086,1.1
4096,tg,attn.select,12.0,0.1056,8.8
4096,tg,attn.attn.combine,12.0,0.0719,6.0
4096,tg,dn.qkv.sum,36.0,0.0611,1.7
4096,tg,moe.router.sum,48.0,0.0608,1.3
4096,tg,dn.out.sum,36.0,0.0565,1.6
4096,tg,attn.pack,12.0,0.0518,4.3
4096,tg,dn.hist,36.0,0.0497,1.4
4096,tg,attn.idx,12.0,0.0374,3.1
4096,tg,attn.attn.gather,12.0,0.0359,3.0
4096,tg,hc.norm,3.0,0.0239,8.0
4096,tg,attn.out.sum,12.0,0.0222,1.9
4096,tg,attn.qkv.sum,12.0,0.0186,1.6
4096,tg,ple.gate,1.0,0.0159,15.9
4096,tg,hc.combine,2.0,0.0092,4.6
4096,tg,ple.conv,1.0,0.0041,4.1
4096,tg,ple.hist,1.0,0.0013,1.4
