tokens,up_kernel,down_kernel,shexp_kernels,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,v64w4,v16w4/gemm,v64w4/v32w4,10,10,160,10,160,block,277.456,13.3,,
1,v64w4,v16w4/k8,v64w4/v32w4,10,10,160,10,160,router,15.311,0.7,171.5,171.9
1,v64w4,v16w4/k8,v64w4/v32w4,10,10,160,10,160,router.sum,0.721,0.0,0.0,0.0
1,v64w4,v16w4/k8,v64w4/v32w4,10,10,160,10,160,route,5.364,0.3,0.0,0.0
1,v64w4,v16w4/k8,v64w4/v32w4,10,10,160,10,160,perm.up,2.429,0.1,0.0,0.0
1,v64w4,v16w4/k8,v64w4/v32w4,10,10,160,10,160,up,98.714,4.7,10622.4,186.7
1,v64w4,v16w4/k8,v64w4/v32w4,10,10,160,10,160,down,57.075,2.7,9185.9,215.3
1,v64w4,v16w4/k8,v64w4/v32w4,10,10,160,10,160,shexp.up,13.876,0.7,472.3,132.8
1,v64w4,v16w4/k8,v64w4/v32w4,10,10,160,10,160,shexp.down,8.488,0.4,386.1,144.8
1,v64w4,v16w4/k8,v64w4/v32w4,10,10,160,10,160,combine,2.950,0.1,0.0,41.7
1,v64w4,v16w4/k8,v64w4/v32w4,10,10,160,10,160,block,204.928,9.8,,
1,v64w4,v16w4/k10,v64w4/v32w4,10,10,160,10,160,router,19.989,1.0,131.4,131.7
1,v64w4,v16w4/k10,v64w4/v32w4,10,10,160,10,160,router.sum,0.726,0.0,0.0,0.0
1,v64w4,v16w4/k10,v64w4/v32w4,10,10,160,10,160,route,5.377,0.3,0.0,0.0
1,v64w4,v16w4/k10,v64w4/v32w4,10,10,160,10,160,perm.up,2.424,0.1,0.0,0.0
1,v64w4,v16w4/k10,v64w4/v32w4,10,10,160,10,160,up,99.017,4.8,10589.9,186.1
1,v64w4,v16w4/k10,v64w4/v32w4,10,10,160,10,160,down,56.915,2.7,9211.8,215.9
