tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
512,48,751.1,681.7,1.742,68.3,2.1,88.6,30.6,548.6,2.6,8.9,3.5,2.6
1024,48,1106.2,925.7,2.365,132.1,3.7,168.0,62.7,723.3,2.6,12.5,7.5,4.0
2048,48,1718.5,1191.7,3.045,247.8,7.1,324.7,143.0,957.4,2.5,34.5,16.4,6.7
4096,48,3059.7,1338.7,3.420,491.9,13.8,659.1,380.4,1439.1,2.5,70.8,27.5,12.6
8192,48,5977.3,1370.5,3.501,964.6,27.6,1365.5,1064.6,2409.8,2.5,140.1,52.4,21.5
