tokens,scan_kernel,operands,regs_per_lane,workgroups,qk_reread,gemm_kernel,out_kernel,dispatch,us_per_layer,us_per_graph,gflops,gbps
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m2/k32,norm,1.127,0.0,0.0,54.5
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m2/k32,out,21.963,0.8,1432.3,1432.8
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m2/k32,out.sum,1.056,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m2/k32,hist,0.788,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m2/k32,layer,233.061,8.4,,
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m4/k32,qkv,196.123,7.1,430.2,430.3
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m4/k32,qkv.sum,1.242,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m4/k32,conv,1.763,0.1,0.0,46.5
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m4/k32,scan,9.007,0.3,698.5,791.3
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m4/k32,norm,1.125,0.0,0.0,54.6
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m4/k32,out,22.025,0.8,1428.3,1428.8
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m4/k32,out.sum,1.053,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m4/k32,hist,0.787,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m4/k32,layer,233.125,8.4,,
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,qkv,196.075,7.1,430.3,430.4
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,qkv.sum,1.239,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,conv,1.756,0.1,0.0,46.7
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,scan,9.076,0.3,693.2,785.3
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,norm,1.124,0.0,0.0,54.7
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,out,22.012,0.8,1429.1,1429.7
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,out.sum,1.054,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,hist,0.784,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m8/k8,gemm_m8/k32,layer,233.120,8.4,,
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,qkv,314.347,11.3,268.4,268.4
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,conv,1.744,0.1,0.0,47.0
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,scan,9.007,0.3,698.5,791.3
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,norm,1.133,0.0,0.0,54.2
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,out,122.158,4.4,257.5,257.6
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,hist,0.786,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/gemm,gemm_m2/gemm,layer,449.175,16.2,,
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,qkv,274.358,9.9,307.5,307.6
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,conv,1.848,0.1,0.0,44.3
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,scan,10.259,0.4,613.3,694.7
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,norm,1.162,0.0,0.0,52.9
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,out,27.158,1.0,1158.3,1158.8
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,out.sum,1.159,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,hist,0.839,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k1,gemm_m2/k32,layer,316.783,11.4,,
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,qkv,311.512,11.2,270.9,270.9
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,qkv.sum,0.834,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,conv,1.750,0.1,0.0,46.8
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,scan,9.166,0.3,686.4,777.6
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,norm,1.130,0.0,0.0,54.4
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,out,23.195,0.8,1356.2,1356.7
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,out.sum,1.093,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,hist,0.803,0.0,0.0,0.0
1,l8,reg,48,768,16,gemm_m4/k2,gemm_m2/k32,layer,349.483,12.6,,
