tokens,down_kernel,up_kernel,dispatch,us_per_mixer,us_per_graph,gflops,gbps
1,down_gemv8,up_m4,down,9.209,0.9,747.2,292.4
1,down_gemv8,up_m4,down_reduce,0.736,0.1,0.0,0.0
1,down_gemv8,up_m4,up,24.541,2.4,267.0,75.9
1,down_gemv8,up_m4,combine,2.569,0.2,0.0,35.9
1,down_gemv8,up_m4,block,41.664,4.0,,
1,down_gemv8,up_m8,norm,4.624,0.4,0.0,13.3
1,down_gemv8,up_m8,down,9.259,0.9,743.2,290.9
1,down_gemv8,up_m8,down_reduce,0.731,0.1,0.0,0.0
1,down_gemv8,up_m8,up,42.528,4.1,154.1,43.8
1,down_gemv8,up_m8,combine,2.566,0.2,0.0,35.9
1,down_gemv8,up_m8,block,59.708,5.8,,
1,down_gemv16,up_m1,norm,4.609,0.4,0.0,13.3
1,down_gemv16,up_m1,down,6.475,0.6,1062.7,415.9
1,down_gemv16,up_m1,down_reduce,0.757,0.1,0.0,0.0
1,down_gemv16,up_m1,up,10.841,1.1,604.5,171.9
1,down_gemv16,up_m1,combine,2.578,0.3,0.0,35.7
1,down_gemv16,up_m1,block,25.260,2.5,,
1,down_gemv16,up_m2,norm,4.621,0.4,0.0,13.3
1,down_gemv16,up_m2,down,6.473,0.6,1063.1,416.1
1,down_gemv16,up_m2,down_reduce,0.759,0.1,0.0,0.0
1,down_gemv16,up_m2,up,15.315,1.5,427.9,121.7
1,down_gemv16,up_m2,combine,2.578,0.3,0.0,35.7
1,down_gemv16,up_m2,block,29.746,2.9,,
1,down_gemv16,up_m4,norm,4.620,0.4,0.0,13.3
1,down_gemv16,up_m4,down,6.444,0.6,1067.9,417.9
1,down_gemv16,up_m4,down_reduce,0.759,0.1,0.0,0.0
1,down_gemv16,up_m4,up,24.617,2.4,266.2,75.7
1,down_gemv16,up_m4,combine,2.482,0.2,0.0,37.1
1,down_gemv16,up_m4,block,38.922,3.8,,
1,down_gemv16,up_m8,norm,4.541,0.4,0.0,13.5
1,down_gemv16,up_m8,down,6.455,0.6,1066.0,417.2
1,down_gemv16,up_m8,down_reduce,0.757,0.1,0.0,0.0
1,down_gemv16,up_m8,up,42.863,4.2,152.9,43.5
1,down_gemv16,up_m8,combine,2.564,0.2,0.0,35.9
1,down_gemv16,up_m8,block,57.180,5.5,,
1,down_gemv32,up_m1,norm,4.603,0.4,0.0,13.3
1,down_gemv32,up_m1,down,5.540,0.5,1242.1,486.1
1,down_gemv32,up_m1,down_reduce,0.810,0.1,0.0,0.0
1,down_gemv32,up_m1,up,10.881,1.1,602.3,171.3
1,down_gemv32,up_m1,combine,2.564,0.2,0.0,35.9
1,down_gemv32,up_m1,block,24.398,2.4,,
1,down_gemv32,up_m2,norm,4.605,0.4,0.0,13.3
1,down_gemv32,up_m2,down,5.517,0.5,1247.3,488.1
1,down_gemv32,up_m2,down_reduce,0.810,0.1,0.0,0.0
1,down_gemv32,up_m2,up,15.408,1.5,425.3,121.0
1,down_gemv32,up_m2,combine,2.581,0.3,0.0,35.7
1,down_gemv32,up_m2,block,28.921,2.8,,
1,down_gemv32,up_m4,norm,4.479,0.4,0.0,13.7
1,down_gemv32,up_m4,down,5.359,0.5,1284.1,502.5
1,down_gemv32,up_m4,down_reduce,0.811,0.1,0.0,0.0
1,down_gemv32,up_m4,up,24.484,2.4,267.7,76.1
1,down_gemv32,up_m4,combine,2.564,0.2,0.0,35.9
1,down_gemv32,up_m4,block,37.697,3.7,,
1,down_gemv32,up_m8,norm,4.618,0.4,0.0,13.3
1,down_gemv32,up_m8,down,5.586,0.5,1231.9,482.1
1,down_gemv32,up_m8,down_reduce,0.813,0.1,0.0,0.0
1,down_gemv32,up_m8,up,42.942,4.2,152.6,43.4
1,down_gemv32,up_m8,combine,2.582,0.3,0.0,35.7
1,down_gemv32,up_m8,block,56.541,5.5,,
1,down_gemv40,up_m1,norm,4.615,0.4,0.0,13.3
1,down_gemv40,up_m1,down,7.594,0.7,906.1,354.6
1,down_gemv40,up_m1,down_reduce,0.828,0.1,0.0,0.0
1,down_gemv40,up_m1,up,10.874,1.1,602.7,171.4
1,down_gemv40,up_m1,combine,2.573,0.2,0.0,35.8
1,down_gemv40,up_m1,block,26.484,2.6,,
1,down_gemv40,up_m2,norm,4.628,0.4,0.0,13.3
1,down_gemv40,up_m2,down,7.532,0.7,913.6,357.6
1,down_gemv40,up_m2,down_reduce,0.829,0.1,0.0,0.0
1,down_gemv40,up_m2,up,15.309,1.5,428.1,121.7
1,down_gemv40,up_m2,combine,2.580,0.3,0.0,35.7
1,down_gemv40,up_m2,block,30.878,3.0,,
1,down_gemv40,up_m4,norm,4.635,0.4,0.0,13.3
1,down_gemv40,up_m4,down,7.519,0.7,915.2,358.2
1,down_gemv40,up_m4,down_reduce,0.832,0.1,0.0,0.0
1,down_gemv40,up_m4,up,24.516,2.4,267.3,76.0
1,down_gemv40,up_m4,combine,2.580,0.3,0.0,35.7
1,down_gemv40,up_m4,block,40.082,3.9,,
1,down_gemv40,up_m8,norm,4.635,0.4,0.0,13.3
1,down_gemv40,up_m8,down,7.533,0.7,913.5,357.5
1,down_gemv40,up_m8,down_reduce,0.829,0.1,0.0,0.0
1,down_gemv40,up_m8,up,42.665,4.1,153.6,43.7
1,down_gemv40,up_m8,combine,2.586,0.3,0.0,35.6
1,down_gemv40,up_m8,block,58.248,5.7,,
1,down_gemv80,up_m1,norm,4.638,0.4,0.0,13.2
1,down_gemv80,up_m1,down,6.083,0.6,1131.2,442.7
1,down_gemv80,up_m1,down_reduce,1.107,0.1,0.0,0.0
1,down_gemv80,up_m1,up,10.823,1.0,605.5,172.2
1,down_gemv80,up_m1,combine,2.572,0.2,0.0,35.8
1,down_gemv80,up_m1,block,25.223,2.4,,
1,down_gemv80,up_m2,norm,4.610,0.4,0.0,13.3
1,down_gemv80,up_m2,down,6.016,0.6,1143.8,447.7
1,down_gemv80,up_m2,down_reduce,1.109,0.1,0.0,0.0
1,down_gemv80,up_m2,up,15.251,1.5,429.7,122.2
1,down_gemv80,up_m2,combine,2.581,0.3,0.0,35.7
1,down_gemv80,up_m2,block,29.567,2.9,,
1,down_gemv80,up_m4,norm,4.610,0.4,0.0,13.3
1,down_gemv80,up_m4,down,6.043,0.6,1138.7,445.7
1,down_gemv80,up_m4,down_reduce,1.109,0.1,0.0,0.0
1,down_gemv80,up_m4,up,23.973,2.3,273.4,77.7
1,down_gemv80,up_m4,combine,2.456,0.2,0.0,37.5
1,down_gemv80,up_m4,block,38.191,3.7,,
1,down_gemv80,up_m8,norm,4.453,0.4,0.0,13.8
1,down_gemv80,up_m8,down,5.957,0.6,1155.2,452.1
1,down_gemv80,up_m8,down_reduce,1.101,0.1,0.0,0.0
1,down_gemv80,up_m8,up,42.111,4.1,155.6,44.3
1,down_gemv80,up_m8,combine,2.566,0.2,0.0,35.9
1,down_gemv80,up_m8,block,56.188,5.5,,
1,down_gemv160,up_m1,norm,4.611,0.4,0.0,13.3
1,down_gemv160,up_m1,down,5.897,0.6,1166.9,456.7
1,down_gemv160,up_m1,down_reduce,1.712,0.2,0.0,0.0
1,down_gemv160,up_m1,up,10.846,1.1,604.2,171.8
1,down_gemv160,up_m1,combine,2.571,0.2,0.0,35.8
1,down_gemv160,up_m1,block,25.637,2.5,,
1,down_gemv160,up_m2,norm,4.624,0.4,0.0,13.3
1,down_gemv160,up_m2,down,5.843,0.6,1177.7,460.9
1,down_gemv160,up_m2,down_reduce,1.708,0.2,0.0,0.0
1,down_gemv160,up_m2,up,15.238,1.5,430.1,122.3
1,down_gemv160,up_m2,combine,2.460,0.2,0.0,37.5
1,down_gemv160,up_m2,block,29.873,2.9,,
1,down_gemv160,up_m4,norm,4.453,0.4,0.0,13.8
1,down_gemv160,up_m4,down,5.483,0.5,1255.0,491.2
1,down_gemv160,up_m4,down_reduce,1.647,0.2,0.0,0.0
1,down_gemv160,up_m4,up,23.859,2.3,274.7,78.1
1,down_gemv160,up_m4,combine,2.457,0.2,0.0,37.5
1,down_gemv160,up_m4,block,37.899,3.7,,
1,down_gemv160,up_m8,norm,4.521,0.4,0.0,13.6
1,down_gemv160,up_m8,down,5.869,0.6,1172.5,458.9
1,down_gemv160,up_m8,down_reduce,1.714,0.2,0.0,0.0
1,down_gemv160,up_m8,up,41.897,4.1,156.4,44.5
1,down_gemv160,up_m8,combine,2.569,0.2,0.0,35.9
1,down_gemv160,up_m8,block,56.570,5.5,,
