tokens,layers,ms,tok_s,against_llama,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms
2048,48,1974.6,1037.2,2.650,324.3,8.6,352.5,130.7,1120.5,3.7,32.9,20.7,16.5
2560,48,2351.2,1088.8,2.782,400.6,10.7,445.0,174.9,1272.4,3.7,42.4,22.5,16.2
3072,48,2703.2,1136.4,2.903,481.7,12.9,524.9,218.7,1408.0,3.7,51.6,26.5,15.5
3584,48,3092.6,1158.9,2.961,556.9,14.7,623.7,271.1,1560.1,3.7,60.6,32.5,13.9
4096,48,3487.0,1174.6,3.001,659.8,17.4,712.6,327.5,1695.7,3.7,68.6,35.0,12.7
