tokens,down_kernel,up_kernel,dispatch,us_per_mixer,us_per_graph,gflops,gbps
128,down_m1,up_m4,up,55.873,5.4,15013.7,109.2
128,down_m1,up_m4,combine,20.090,1.9,0.0,587.2
128,down_m1,up_m4,block,295.860,28.7,,
128,down_m1,up_m8,norm,14.594,1.4,0.0,538.9
128,down_m1,up_m8,down,205.323,19.9,4289.8,33.0
128,down_m1,up_m8,up,50.086,4.9,16748.4,121.9
128,down_m1,up_m8,combine,20.026,1.9,0.0,589.1
128,down_m1,up_m8,block,290.029,28.1,,
128,down_m2,up_m1,norm,14.583,1.4,0.0,539.3
128,down_m2,up_m1,down,239.042,23.2,3684.7,28.3
128,down_m2,up_m1,up,63.893,6.2,13129.2,95.5
128,down_m2,up_m1,combine,17.174,1.7,0.0,686.9
128,down_m2,up_m1,block,334.692,32.5,,
128,down_m2,up_m2,norm,14.583,1.4,0.0,539.3
128,down_m2,up_m2,down,234.635,22.8,3753.9,28.8
128,down_m2,up_m2,up,52.699,5.1,15918.0,115.8
128,down_m2,up_m2,combine,17.234,1.7,0.0,684.5
128,down_m2,up_m2,block,319.151,31.0,,
128,down_m2,up_m4,norm,14.574,1.4,0.0,539.6
128,down_m2,up_m4,down,231.534,22.5,3804.2,29.2
128,down_m2,up_m4,up,55.908,5.4,15004.3,109.2
128,down_m2,up_m4,combine,20.014,1.9,0.0,589.4
128,down_m2,up_m4,block,322.030,31.2,,
128,down_m2,up_m8,norm,14.601,1.4,0.0,538.6
128,down_m2,up_m8,down,236.840,23.0,3719.0,28.6
128,down_m2,up_m8,up,50.401,4.9,16643.7,121.1
128,down_m2,up_m8,combine,20.115,2.0,0.0,586.5
128,down_m2,up_m8,block,321.957,31.2,,
128,down_m4,up_m1,norm,14.594,1.4,0.0,538.9
128,down_m4,up_m1,down,312.901,30.4,2815.0,21.6
128,down_m4,up_m1,up,64.129,6.2,13080.8,95.2
128,down_m4,up_m1,combine,17.407,1.7,0.0,677.7
128,down_m4,up_m1,block,409.031,39.7,,
128,down_m4,up_m2,norm,14.598,1.4,0.0,538.7
128,down_m4,up_m2,down,298.516,29.0,2950.6,22.7
128,down_m4,up_m2,up,52.987,5.1,15831.4,115.2
128,down_m4,up_m2,combine,17.432,1.7,0.0,676.7
128,down_m4,up_m2,block,383.533,37.2,,
128,down_m4,up_m4,norm,14.622,1.4,0.0,537.8
128,down_m4,up_m4,down,296.096,28.7,2974.7,22.9
128,down_m4,up_m4,up,56.307,5.5,14898.0,108.4
128,down_m4,up_m4,combine,20.034,1.9,0.0,588.8
128,down_m4,up_m4,block,387.059,37.5,,
128,down_m4,up_m8,norm,14.614,1.4,0.0,538.1
128,down_m4,up_m8,down,300.755,29.2,2928.6,22.5
128,down_m4,up_m8,up,50.503,4.9,16610.1,120.8
128,down_m4,up_m8,combine,20.152,2.0,0.0,585.4
128,down_m4,up_m8,block,386.024,37.4,,
128,down_m8,up_m1,norm,14.609,1.4,0.0,538.3
128,down_m8,up_m1,down,428.645,41.6,2054.9,15.8
128,down_m8,up_m1,up,64.313,6.2,13043.4,94.9
128,down_m8,up_m1,combine,17.121,1.7,0.0,689.0
128,down_m8,up_m1,block,524.688,50.9,,
128,down_m8,up_m2,norm,14.595,1.4,0.0,538.8
128,down_m8,up_m2,down,428.173,41.5,2057.1,15.8
128,down_m8,up_m2,up,52.843,5.1,15874.6,115.5
128,down_m8,up_m2,combine,17.644,1.7,0.0,668.6
128,down_m8,up_m2,block,513.255,49.8,,
128,down_m8,up_m4,norm,14.616,1.4,0.0,538.1
128,down_m8,up_m4,down,431.753,41.9,2040.1,15.7
128,down_m8,up_m4,up,56.302,5.5,14899.3,108.4
128,down_m8,up_m4,combine,20.156,2.0,0.0,585.3
128,down_m8,up_m4,block,522.827,50.7,,
128,down_m8,up_m8,norm,14.588,1.4,0.0,539.1
128,down_m8,up_m8,down,428.463,41.6,2055.7,15.8
128,down_m8,up_m8,up,50.611,4.9,16574.7,120.6
128,down_m8,up_m8,combine,20.037,1.9,0.0,588.7
128,down_m8,up_m8,block,513.699,49.8,,
512,down_m1,up_m1,norm,56.879,5.5,0.0,553.1
512,down_m1,up_m1,down,253.628,24.6,13891.3,57.7
512,down_m1,up_m1,up,229.285,22.2,14634.4,60.9
512,down_m1,up_m1,combine,68.000,6.6,0.0,693.9
512,down_m1,up_m1,block,607.792,59.0,,
512,down_m1,up_m2,norm,54.907,5.3,0.0,572.9
512,down_m1,up_m2,down,253.840,24.6,13879.7,57.6
512,down_m1,up_m2,up,168.437,16.3,19921.1,82.9
512,down_m1,up_m2,combine,67.929,6.6,0.0,694.6
512,down_m1,up_m2,block,545.113,52.9,,
512,down_m1,up_m4,norm,54.529,5.3,0.0,576.9
512,down_m1,up_m4,down,263.785,25.6,13356.4,55.5
512,down_m1,up_m4,up,152.622,14.8,21985.3,91.5
512,down_m1,up_m4,combine,67.580,6.6,0.0,698.2
512,down_m1,up_m4,block,538.516,52.2,,
512,down_m1,up_m8,norm,54.517,5.3,0.0,577.0
512,down_m1,up_m8,down,256.146,24.8,13754.7,57.1
512,down_m1,up_m8,up,160.803,15.6,20866.8,86.9
512,down_m1,up_m8,combine,68.968,6.7,0.0,684.2
512,down_m1,up_m8,block,540.434,52.4,,
512,down_m2,up_m1,norm,54.905,5.3,0.0,572.9
512,down_m2,up_m1,down,254.686,24.7,13833.6,57.5
512,down_m2,up_m1,up,229.137,22.2,14643.8,61.0
512,down_m2,up_m1,combine,68.178,6.6,0.0,692.1
512,down_m2,up_m1,block,606.906,58.9,,
512,down_m2,up_m2,norm,54.711,5.3,0.0,575.0
512,down_m2,up_m2,down,254.981,24.7,13817.6,57.4
512,down_m2,up_m2,up,168.441,16.3,19920.6,82.9
512,down_m2,up_m2,combine,67.947,6.6,0.0,694.5
512,down_m2,up_m2,block,546.080,53.0,,
512,down_m2,up_m4,norm,55.096,5.3,0.0,571.0
512,down_m2,up_m4,down,262.066,25.4,13444.0,55.8
512,down_m2,up_m4,up,152.306,14.8,22030.9,91.7
512,down_m2,up_m4,combine,67.474,6.5,0.0,699.3
512,down_m2,up_m4,block,536.942,52.1,,
512,down_m2,up_m8,norm,54.896,5.3,0.0,573.0
512,down_m2,up_m8,down,254.818,24.7,13826.4,57.4
512,down_m2,up_m8,up,161.383,15.7,20791.8,86.5
512,down_m2,up_m8,combine,69.381,6.7,0.0,680.1
512,down_m2,up_m8,block,540.478,52.4,,
512,down_m4,up_m1,norm,54.793,5.3,0.0,574.1
512,down_m4,up_m1,down,310.020,30.1,11364.5,47.2
512,down_m4,up_m1,up,229.589,22.3,14615.0,60.8
512,down_m4,up_m1,combine,67.905,6.6,0.0,694.9
512,down_m4,up_m1,block,662.307,64.2,,
512,down_m4,up_m2,norm,54.869,5.3,0.0,573.3
512,down_m4,up_m2,down,312.340,30.3,11280.1,46.8
512,down_m4,up_m2,up,167.386,16.2,20046.1,83.4
512,down_m4,up_m2,combine,68.009,6.6,0.0,693.8
512,down_m4,up_m2,block,602.604,58.5,,
512,down_m4,up_m4,norm,54.747,5.3,0.0,574.6
512,down_m4,up_m4,down,348.767,33.8,10101.9,42.0
512,down_m4,up_m4,up,152.452,14.8,22009.8,91.6
512,down_m4,up_m4,combine,67.281,6.5,0.0,701.3
512,down_m4,up_m4,block,623.247,60.5,,
512,down_m4,up_m8,norm,54.664,5.3,0.0,575.5
512,down_m4,up_m8,down,322.093,31.2,10938.5,45.4
512,down_m4,up_m8,up,161.192,15.6,20816.4,86.7
512,down_m4,up_m8,combine,69.500,6.7,0.0,678.9
512,down_m4,up_m8,block,607.449,58.9,,
512,down_m8,up_m1,norm,54.804,5.3,0.0,574.0
512,down_m8,up_m1,down,444.401,43.1,7928.0,32.9
512,down_m8,up_m1,up,228.668,22.2,14673.9,61.1
512,down_m8,up_m1,combine,67.972,6.6,0.0,694.2
512,down_m8,up_m1,block,795.845,77.2,,
512,down_m8,up_m2,norm,55.082,5.3,0.0,571.1
512,down_m8,up_m2,down,431.053,41.8,8173.5,33.9
512,down_m8,up_m2,up,167.536,16.3,20028.2,83.4
512,down_m8,up_m2,combine,67.576,6.6,0.0,698.3
512,down_m8,up_m2,block,721.247,70.0,,
512,down_m8,up_m4,norm,54.826,5.3,0.0,573.8
512,down_m8,up_m4,down,451.481,43.8,7803.7,32.4
512,down_m8,up_m4,up,152.583,14.8,21990.9,91.5
512,down_m8,up_m4,combine,67.856,6.6,0.0,695.4
512,down_m8,up_m4,block,726.746,70.5,,
512,down_m8,up_m8,norm,55.012,5.3,0.0,571.8
512,down_m8,up_m8,down,431.974,41.9,8156.1,33.9
512,down_m8,up_m8,up,161.824,15.7,20735.1,86.3
512,down_m8,up_m8,combine,69.333,6.7,0.0,680.6
512,down_m8,up_m8,block,718.143,69.7,,
1024,down_m1,up_m1,norm,375.466,36.4,0.0,167.6
1024,down_m1,up_m1,down,400.714,38.9,17584.7,62.7
1024,down_m1,up_m1,up,520.736,50.5,12887.3,47.0
1024,down_m1,up_m1,combine,553.925,53.7,0.0,170.4
1024,down_m1,up_m1,block,1850.841,179.5,,
1024,down_m1,up_m2,norm,375.413,36.4,0.0,167.6
1024,down_m1,up_m2,down,399.906,38.8,17620.2,62.8
1024,down_m1,up_m2,up,404.473,39.2,16591.7,60.5
1024,down_m1,up_m2,combine,554.860,53.8,0.0,170.1
1024,down_m1,up_m2,block,1734.652,168.3,,
1024,down_m1,up_m4,norm,375.558,36.4,0.0,167.5
1024,down_m1,up_m4,down,399.844,38.8,17622.9,62.8
1024,down_m1,up_m4,up,367.124,35.6,18279.6,66.6
1024,down_m1,up_m4,combine,556.515,54.0,0.0,169.6
1024,down_m1,up_m4,block,1699.041,164.8,,
1024,down_m1,up_m8,norm,375.610,36.4,0.0,167.5
1024,down_m1,up_m8,down,400.417,38.8,17597.7,62.7
1024,down_m1,up_m8,up,437.996,42.5,15321.8,55.8
1024,down_m1,up_m8,combine,554.203,53.8,0.0,170.3
1024,down_m1,up_m8,block,1768.226,171.5,,
1024,down_m2,up_m1,norm,375.096,36.4,0.0,167.7
1024,down_m2,up_m1,down,330.160,32.0,21342.5,76.1
1024,down_m2,up_m1,up,515.747,50.0,13012.0,47.4
1024,down_m2,up_m1,combine,555.136,53.8,0.0,170.0
1024,down_m2,up_m1,block,1776.139,172.3,,
1024,down_m2,up_m2,norm,375.609,36.4,0.0,167.5
1024,down_m2,up_m2,down,332.041,32.2,21221.6,75.6
1024,down_m2,up_m2,up,404.106,39.2,16606.7,60.5
1024,down_m2,up_m2,combine,555.000,53.8,0.0,170.0
1024,down_m2,up_m2,block,1666.756,161.7,,
1024,down_m2,up_m4,norm,375.181,36.4,0.0,167.7
1024,down_m2,up_m4,down,331.282,32.1,21270.2,75.8
1024,down_m2,up_m4,up,367.869,35.7,18242.6,66.5
1024,down_m2,up_m4,combine,555.005,53.8,0.0,170.0
1024,down_m2,up_m4,block,1629.337,158.0,,
1024,down_m2,up_m8,norm,375.245,36.4,0.0,167.7
1024,down_m2,up_m8,down,331.069,32.1,21283.9,75.9
1024,down_m2,up_m8,up,431.017,41.8,15569.9,56.7
1024,down_m2,up_m8,combine,555.724,53.9,0.0,169.8
1024,down_m2,up_m8,block,1693.055,164.2,,
1024,down_m4,up_m1,norm,375.296,36.4,0.0,167.6
1024,down_m4,up_m1,down,379.548,36.8,18565.3,66.2
1024,down_m4,up_m1,up,514.691,49.9,13038.7,47.5
1024,down_m4,up_m1,combine,554.949,53.8,0.0,170.1
1024,down_m4,up_m1,block,1824.484,177.0,,
1024,down_m4,up_m2,norm,375.387,36.4,0.0,167.6
1024,down_m4,up_m2,down,379.279,36.8,18578.5,66.2
1024,down_m4,up_m2,up,403.835,39.2,16617.9,60.6
1024,down_m4,up_m2,combine,554.524,53.8,0.0,170.2
1024,down_m4,up_m2,block,1713.025,166.2,,
1024,down_m4,up_m4,norm,375.215,36.4,0.0,167.7
1024,down_m4,up_m4,down,385.192,37.4,18293.3,65.2
1024,down_m4,up_m4,up,369.197,35.8,18177.0,66.2
1024,down_m4,up_m4,combine,556.112,53.9,0.0,169.7
1024,down_m4,up_m4,block,1685.716,163.5,,
1024,down_m4,up_m8,norm,375.588,36.4,0.0,167.5
1024,down_m4,up_m8,down,379.597,36.8,18562.9,66.2
1024,down_m4,up_m8,up,429.863,41.7,15611.7,56.9
1024,down_m4,up_m8,combine,555.058,53.8,0.0,170.0
1024,down_m4,up_m8,block,1740.106,168.8,,
1024,down_m8,up_m1,norm,375.154,36.4,0.0,167.7
1024,down_m8,up_m1,down,434.807,42.2,16205.9,57.8
1024,down_m8,up_m1,up,514.037,49.9,13055.3,47.6
1024,down_m8,up_m1,combine,553.172,53.7,0.0,170.6
1024,down_m8,up_m1,block,1877.170,182.1,,
1024,down_m8,up_m2,norm,375.019,36.4,0.0,167.8
1024,down_m8,up_m2,down,437.264,42.4,16114.8,57.4
1024,down_m8,up_m2,up,404.181,39.2,16603.7,60.5
1024,down_m8,up_m2,combine,555.010,53.8,0.0,170.0
1024,down_m8,up_m2,block,1771.474,171.8,,
1024,down_m8,up_m4,norm,375.362,36.4,0.0,167.6
1024,down_m8,up_m4,down,438.127,42.5,16083.1,57.3
1024,down_m8,up_m4,up,369.300,35.8,18171.9,66.2
1024,down_m8,up_m4,combine,559.377,54.3,0.0,168.7
1024,down_m8,up_m4,block,1742.166,169.0,,
1024,down_m8,up_m8,norm,375.376,36.4,0.0,167.6
1024,down_m8,up_m8,down,439.491,42.6,16033.2,57.2
1024,down_m8,up_m8,up,436.605,42.4,15370.6,56.0
1024,down_m8,up_m8,combine,555.057,53.8,0.0,170.0
1024,down_m8,up_m8,block,1806.529,175.2,,
2048,down_m1,up_m1,norm,724.464,70.3,0.0,173.7
2048,down_m1,up_m1,down,866.234,84.0,16269.1,53.2
2048,down_m1,up_m1,up,1016.841,98.6,13199.5,44.7
2048,down_m1,up_m1,combine,1342.769,130.2,0.0,140.6
2048,down_m1,up_m1,block,3950.308,383.2,,
2048,down_m1,up_m2,norm,724.141,70.2,0.0,173.8
2048,down_m1,up_m2,down,862.017,83.6,16348.7,53.5
2048,down_m1,up_m2,up,782.243,75.9,17158.1,58.1
2048,down_m1,up_m2,combine,1343.762,130.3,0.0,140.5
2048,down_m1,up_m2,block,3712.163,360.1,,
2048,down_m1,up_m4,norm,724.441,70.3,0.0,173.7
2048,down_m1,up_m4,down,860.543,83.5,16376.7,53.6
