tokens,up_kernel,down_kernel,shexp_kernels,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,router,14.379,0.7,182.7,183.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,router.sum,0.871,0.0,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,route,5.357,0.3,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,perm.up,2.399,0.1,0.0,0.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,up,253.526,12.2,4136.0,72.7
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,down,89.214,4.3,5876.7,114.8
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,shexp.up,23.854,1.1,274.7,146.0
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,shexp.down,11.220,0.5,292.0,155.2
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,combine,2.887,0.1,0.0,42.6
1,m1,m1/k40,v64w4/v32w4,10,10,160,10,160,block,403.707,19.4,,
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,router,14.429,0.7,182.0,182.4
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,router.sum,0.918,0.0,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,route,5.382,0.3,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,perm.up,2.556,0.1,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,perm.down,2.454,0.1,0.0,0.0
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,up,299.736,14.4,6996.7,61.5
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,down,99.816,4.8,10505.1,102.6
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,shexp.up,25.067,1.2,261.4,138.9
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,shexp.down,15.639,0.8,209.5,111.3
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,combine,2.850,0.1,0.0,43.1
1,m1,m2/k40,v64w4/v32w4,10,20,320,10,320,block,468.847,22.5,,
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,router,15.426,0.7,170.3,170.6
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,router.sum,0.868,0.0,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,route,5.339,0.3,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,perm.up,2.672,0.1,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,perm.down,2.466,0.1,0.0,0.0
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,up,471.385,22.6,8897.8,39.1
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,down,106.544,5.1,19683.4,96.1
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,shexp.up,44.854,2.2,146.1,77.6
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,shexp.down,21.688,1.0,151.1,80.3
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,combine,2.842,0.1,0.0,43.2
1,m1,m4/k40,v64w4/v32w4,10,40,640,10,640,block,674.084,32.4,,
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,router,14.334,0.7,183.2,183.6
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,router.sum,0.881,0.0,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,route,5.339,0.3,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,perm.up,2.489,0.1,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,perm.down,2.421,0.1,0.0,0.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,up,282.398,13.6,7426.2,65.3
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,down,101.399,4.9,10341.1,101.0
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,shexp.up,25.470,1.2,257.3,136.7
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,shexp.down,15.789,0.8,207.5,110.3
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,combine,2.815,0.1,0.0,43.7
1,m1,w2m1/k40,v64w4/v32w4,10,20,320,10,320,block,453.335,21.8,,
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,router,15.448,0.7,170.0,170.4
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,router.sum,0.876,0.0,0.0,0.0
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,route,5.337,0.3,0.0,0.0
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,perm.up,2.669,0.1,0.0,0.0
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,perm.down,2.481,0.1,0.0,0.0
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,up,472.610,22.7,8874.8,39.0
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,down,120.032,5.8,17471.6,85.3
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,shexp.up,43.855,2.1,149.4,79.4
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,shexp.down,21.663,1.0,151.3,80.4
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,combine,2.825,0.1,0.0,43.5
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,block,687.796,33.0,,
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,router,14.349,0.7,183.0,183.4
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,router.sum,0.873,0.0,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,route,5.347,0.3,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,perm.up,2.436,0.1,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,perm.down,2.504,0.1,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,up,297.344,14.3,7052.9,62.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,down,86.676,4.2,12097.7,118.1
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,shexp.up,27.043,1.3,242.3,128.7
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,shexp.down,15.912,0.8,205.9,109.4
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,combine,2.855,0.1,0.0,43.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,block,455.339,21.9,,
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,router,14.274,0.7,184.0,184.4
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,router.sum,0.868,0.0,0.0,0.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,route,5.339,0.3,0.0,0.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,perm.up,2.466,0.1,0.0,0.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,up,289.286,13.9,7249.4,63.7
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,down,90.341,4.3,11606.9,113.3
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,shexp.up,24.861,1.2,263.6,140.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,shexp.down,15.546,0.7,210.8,112.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,combine,2.765,0.1,0.0,44.4
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,block,445.746,21.4,,
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,router,15.493,0.7,169.5,169.9
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,router.sum,0.876,0.0,0.0,0.0
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,route,5.337,0.3,0.0,0.0
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,perm.up,2.564,0.1,0.0,0.0
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,perm.down,2.469,0.1,0.0,0.0
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,up,496.425,23.8,8449.0,37.1
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,down,106.897,5.1,19618.4,95.8
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,shexp.up,44.844,2.2,146.1,77.6
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,shexp.down,21.818,1.0,150.2,79.8
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,combine,2.832,0.1,0.0,43.4
1,m2,m4/k40,v64w4/v32w4,10,20,640,10,640,block,699.555,33.6,,
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,router,14.444,0.7,181.8,182.2
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,router.sum,0.878,0.0,0.0,0.0
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,route,5.334,0.3,0.0,0.0
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,perm.up,2.516,0.1,0.0,0.0
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,up,290.361,13.9,7222.6,63.5
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,down,101.109,4.9,10370.7,101.3
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,shexp.up,25.240,1.2,259.7,137.9
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,shexp.down,15.709,0.8,208.6,110.8
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,combine,2.822,0.1,0.0,43.5
1,m2,w2m1/k40,v64w4/v32w4,10,10,320,10,320,block,458.413,22.0,,
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,router,15.366,0.7,170.9,171.3
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,router.sum,0.883,0.0,0.0,0.0
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,route,5.339,0.3,0.0,0.0
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,perm.up,2.549,0.1,0.0,0.0
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,perm.down,2.481,0.1,0.0,0.0
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,up,498.166,23.9,8419.5,37.0
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,down,119.636,5.7,17529.4,85.6
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,shexp.up,43.900,2.1,149.3,79.3
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,shexp.down,21.620,1.0,151.6,80.5
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,combine,2.812,0.1,0.0,43.7
1,m2,w4m1/k40,v64w4/v32w4,10,20,640,10,640,block,712.752,34.2,,
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,router,15.423,0.7,170.3,170.6
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,router.sum,0.876,0.0,0.0,0.0
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,route,5.334,0.3,0.0,0.0
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,perm.up,2.494,0.1,0.0,0.0
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,perm.down,2.654,0.1,0.0,0.0
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,up,391.308,18.8,10718.7,47.1
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,down,116.067,5.6,18068.5,88.2
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,shexp.up,43.702,2.1,150.0,79.7
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,shexp.down,21.605,1.0,151.7,80.6
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,combine,2.820,0.1,0.0,43.6
1,m4,m1/k40,v64w4/v32w4,10,10,640,40,640,block,602.283,28.9,,
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,router,15.456,0.7,169.9,170.3
1,m4,m2/k40,v64w4/v32w4,10,10,640,20,640,router.sum,0.921,0.0,0.0,0.0
