phase,ubatch,category,op,dispatches,us_per_dispatch,us_total,pct_of_graph,gflops
decode,1,glue,"CLAMP",1,2.404,2.4,0.006,0.0
decode,1,glue,"ABS",1,2.284,2.3,0.006,0.0
prefill,2048,moe_experts,"MUL_MAT_ID q4_K m=640 n=10 k=2560 n_expert=512 batch=2048",92,11623.500,1069360.0,23.455,5772.4
prefill,2048,moe_experts,"MUL_MAT_ID q5_1 m=2560 n=10 k=640 n_expert=512 batch=2048",43,11054.600,475347.0,10.426,6065.9
prefill,2048,glue,"CONCAT",37,12842.400,475167.0,10.422,0.0
prefill,2048,glue,"MUL",479,856.385,410209.0,8.998,0.0
prefill,2048,matmul_dense,"MUL_MAT q8_0 m=2560 n=2048 k=6144",48,4021.710,193042.0,4.234,16017.9
prefill,2048,matmul_dense,"MUL_MAT q8_0 m=10240 n=2048 k=2560",37,5188.090,191959.0,4.210,20692.3
prefill,2048,matmul_dense,"MUL_MAT q8_0 m=320 n=2048 k=10240",95,1950.360,185284.0,4.064,6881.4
prefill,2048,matmul_f32,"MUL_MAT f32 m=4 n=2048 k=10240",95,1734.360,164764.0,3.614,96.7
prefill,2048,glue,"ADD",231,597.331,137984.0,3.027,0.0
prefill,2048,matmul_dense,"MUL_MAT q8_0 m=10240 n=2048 k=320",95,1437.250,136539.0,2.995,9323.9
prefill,2048,glue,"MULTI_ADD ADD",170,706.865,120167.0,2.636,0.0
prefill,2048,matmul_dense,"MUL_MAT q8_0 m=6144 n=2048 k=2560",36,3307.360,119065.0,2.612,19475.3
prefill,2048,glue,"SIGMOID",326,286.372,93357.3,2.048,0.0
prefill,2048,norms,"RMS_NORM(2560,4,2048,1)",98,859.603,84241.1,1.848,0.0
prefill,2048,matmul_dense,"MUL_MAT q8_0 m=12288 n=2048 k=2560",12,6314.360,75772.3,1.662,20401.7
prefill,2048,deltanet,"GATED_DELTA_NET",36,2057.510,74070.4,1.625,0.0
prefill,2048,glue,"REPEAT",98,647.877,63492.0,1.393,0.0
prefill,2048,attention_qsa,"FLASH_ATTN_EXT dst(256,24,2048,1),  q(256,2048,24,1),  k(256,2048,2,1),  v(256,2048,2,1),  m(2048,2048,1,1)",12,4821.670,57860.0,1.269,21378.3
prefill,2048,moe_experts,"MUL_MAT_ID q8_0 m=2560 n=10 k=640 n_expert=512 batch=2048",4,12207.200,48828.6,1.071,5493.2
prefill,2048,matmul_dense,"MUL_MAT q8_0 m=640 n=2048 k=2560",94,489.299,45994.2,1.009,13712.6
prefill,2048,glue,"CONT",251,166.543,41802.4,0.917,0.0
prefill,2048,norms,"RMS_NORM_MUL RMS_NORM(128,48,2048,1)",36,953.166,34314.0,0.753,0.0
prefill,2048,glue,"GLU",96,347.109,33322.5,0.731,0.0
prefill,2048,moe_experts,"MUL_MAT_ID q5_K m=640 n=10 k=2560 n_expert=512 batch=2048",2,16192.000,32384.0,0.710,4143.8
prefill,2048,deltanet,"SSM_CONV_SILU SSM_CONV",36,887.584,31953.1,0.701,0.0
prefill,2048,deltanet,"L2_NORM",72,263.294,18957.2,0.416,0.0
prefill,2048,matmul_dense,"MUL_MAT q8_0 m=2560 n=2048 k=640",47,320.896,15082.2,0.331,20896.6
prefill,2048,matmul_f32,"MUL_MAT f32 m=512 n=2048 k=2560",47,316.453,14873.3,0.326,16961.9
prefill,2048,glue,"SCALE",472,30.604,14445.2,0.317,0.0
prefill,2048,matmul_f32,"MUL_MAT f32 m=48 n=2048 k=2560",72,198.347,14281.0,0.313,2537.1
prefill,2048,matmul_f32,"MUL_MAT f32 m=1 n=2048 k=2560",47,234.973,11043.8,0.242,44.6
prefill,2048,matmul_dense,"MUL_MAT q8_0 m=512 n=2048 k=2560",24,368.992,8855.8,0.194,14546.8
prefill,2048,matmul_dense,"MUL_MAT bf16 m=512 n=2048 k=2560",12,681.972,8183.7,0.180,7870.8
prefill,2048,norms,"RMS_NORM_MUL RMS_NORM(256,24,2048,1)",12,670.066,8040.8,0.176,0.0
prefill,2048,attention_qsa,"TOP_K K=2048 (2048,2048,1,1)",12,642.967,7715.6,0.169,0.0
prefill,2048,rope,"ROPE",48,127.763,6132.7,0.135,0.0
prefill,2048,routing_gather,"ARGSORT",47,128.300,6030.1,0.132,0.0
prefill,2048,routing_gather,"GET_ROWS",135,29.902,4036.9,0.089,0.0
prefill,2048,matmul_dense,"MUL_MAT bf16 m=128 n=2048 k=2560",12,316.517,3798.2,0.083,4239.6
