depth,phase,tokens,ms,tok_s,ms_per_token,hc_ms,ple_ms,dn_ms,attn_ms,moe_ms,head_ms,move_ms,gather_ms,glue_ms,gpu_ms
0,pp,512,740.9,691.02,1.447,0.134,0.004,0.168,0.074,1.033,0.005,0.006,0.010,0.004,1.425
0,tg,64,1826.3,35.04,28.537,3.894,0.272,7.120,3.027,10.347,2.371,0.604,0.514,0.102,27.637
8000,pp,512,883.8,579.31,1.726,0.133,0.004,0.168,0.218,1.126,0.005,0.006,0.059,0.004,1.661
8000,tg,64,1979.7,32.33,30.933,3.921,0.275,7.140,4.636,10.401,2.385,0.613,1.183,0.099,29.371
16000,pp,512,915.2,559.46,1.787,0.134,0.004,0.169,0.334,1.067,0.005,0.006,0.063,0.004,1.719
16000,tg,64,2042.4,31.34,31.912,3.937,0.308,7.163,5.300,10.416,2.385,0.620,1.388,0.104,30.130
32000,pp,512,962.0,532.21,1.879,0.134,0.004,0.168,0.473,1.022,0.005,0.006,0.060,0.004,1.813
32000,tg,64,2159.1,29.64,33.735,3.988,0.382,7.223,6.224,10.605,2.440,0.642,1.828,0.113,31.505
64000,pp,512,1165.8,439.18,2.277,0.134,0.004,0.168,0.829,1.061,0.005,0.006,0.063,0.004,2.208
64000,tg,64,2309.7,27.71,36.089,4.107,0.298,7.404,7.292,10.741,2.427,0.659,2.752,0.093,32.929
