tokens,up_kernel,down_kernel,shexp_kernels,experts_touched,up_tiles,up_rows_exec,down_tiles,down_rows_exec,dispatch,us_per_layer,ms_per_graph,gflops,weight_gbps
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,combine,2.827,0.1,0.0,43.5
1,m1,w4m1/k40,v64w4/v32w4,10,40,640,10,640,block,692.579,33.2,,
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,router,14.602,0.7,179.9,180.2
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,router.sum,0.873,0.0,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,route,5.370,0.3,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,perm.up,2.459,0.1,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,perm.down,2.569,0.1,0.0,0.0
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,up,301.021,14.4,6966.8,61.2
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,down,92.730,4.5,11307.8,132.5
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,shexp.up,25.157,1.2,260.5,138.4
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,shexp.down,15.649,0.8,209.4,111.2
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,combine,2.835,0.1,0.0,43.3
1,m2,m1/k40,v64w4/v32w4,10,10,320,20,320,block,463.265,22.2,,
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,router,14.356,0.7,183.0,183.3
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,router.sum,0.881,0.0,0.0,0.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,route,5.349,0.3,0.0,0.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,perm.up,2.464,0.1,0.0,0.0
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,up,289.331,13.9,7248.3,63.7
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,down,92.918,4.5,11285.0,132.2
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,shexp.up,24.701,1.2,265.3,140.9
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,shexp.down,15.256,0.7,214.8,114.1
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,combine,2.812,0.1,0.0,43.7
1,m2,m2/k40,v64w4/v32w4,10,10,320,10,320,block,448.068,21.5,,
